title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__,is_hit,file_name,total_plays,spotify_streams
Cảm Ơn,Will,Minh Tốc & Lam,zingmp3,0.0,2025-11-14,"v-pop, vietnam indie, vietnamese lo-fi",0djfbUERjJZby22gTdDhxL,camon||will,"('cảm ơn', 'will', 'lam, minh, tốc')",0.0,Cảm Ơn - Will.mp3,61000.0,2959.0
Hà Nội Của Bố,Emcee L (Da LAB),,bsides_non_hit,15.0,2024-07-10,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",5GS2sXqMQEmKtMLxpIyKxI,hanoicuabo||emceeldalab,"('hà nội của bố', 'da, emcee, l, lab', 'nan')",0.0,Hà Nội Của Bố.mp3,488000.0,35327.0
Anh Muốn,PAR SG,,bsides_non_hit,17.0,2025-05-09,"vietnamese lo-fi, vietnamese hip hop, vietnam indie, v-pop",3N02LWl86YenzSDo7JegsG,anhmuon||parsg,"('anh muốn', 'par, sg', 'nan')",0.0,Anh Muốn.mp3,320000.0,23866.0
The Chosen One,Puppy,,bsides_non_hit,15.0,2024-01-23,"v-pop, vietnamese hip hop",01xdSF7Ih0miCqPLhVipOE,thechosenone||puppy,"('the chosen one', 'puppy', 'nan')",0.0,The Chosen One.mp3,3000.0,27693.0
Kỵ Sĩ Và Ánh Sao,Đông Nhi,,"new_hits_scraped, new_hits_scraped_old",52.0,2025-04-19,v-pop,62oJI8qLl1kFx77NQiCFo7,kysivaanhsao||dongnhi,"('kỵ sĩ và ánh sao', 'nhi, đông', 'nan')",1.0,Kỵ Sĩ Và Ánh Sao.mp3,9400000.0,4210728.0
Tập 659,Ân ngờ,,bsides_non_hit,37.0,2024-09-23,"v-pop, vietnam indie",1vWghiYgQjyNN7aRkH1hSk,tap659||anngo,"('tập 659', 'ngờ, ân', 'nan')",0.0,Tập 659.mp3,3000.0,168877.0
Bánh cuốn,Quân A.P,,bsides_non_hit,27.0,2024-11-29,"v-pop, vietnamese lo-fi",7KLi2Tv6KPtuC1N1FDhbZE,banhcuon||quanap,"('bánh cuốn', 'a, p, quân', 'nan')",0.0,Bánh cuốn.mp3,858000.0,290222.0
Thương Em Là Điều Anh Không Thể Ngờ,Noo Phước Thịnh,,"new_hits_scraped, new_hits_scraped_old",54.0,2018-12-18,"v-pop, vinahouse",2gT5LL3uRANxvvmDxaULbQ,thuongemladieuanhkhongthengo||noophuocthinh,"('thương em là điều anh không thể ngờ', 'noo, phước, thịnh', 'nan')",1.0,Thương Em Là Điều Anh Không Thể Ngờ.mp3,0.0,16791536.0
kệ nhắm mắt yêu luôn,hana cẩm tiên,tuệ ny,zingmp3,32.0,2025-08-05,"vinahouse, v-pop, vietnamese bolero, vietnamese lo-fi",1tteKpc4fNBOmx9kjORyeH,kenhammatyeuluon||hanacamtien,"('kệ nhắm mắt yêu luôn', 'cẩm, hana, tiên', 'ny, tuệ')",0.0,kệ nhắm mắt yêu luôn.mp3,377000.0,101731.0
Chết Trong Em,Thịnh Suy,,new_hits_scraped_old,56.0,2022-11-17,"v-pop, vietnam indie, vietnamese lo-fi",1dUmmBh2nw8XzEI3au0uFs,chettrongem||thinhsuy,"('chết trong em', 'suy, thịnh', '')",1.0,Chết Trong Em.mp3,3200000.0,30436695.0
Neu Anh Di,Mỹ Tâm,,new_hits_scraped_old,47.0,2017-12-06,"v-pop, vietnamese bolero, vietnam indie",1aw1KeS9sT1mKPzs2hfqCz,neuanhdi||mytam,"('neu anh di', 'mỹ, tâm', '')",1.0,Neu Anh Di.mp3,211000.0,9760574.0
Hẹn Hò Nhưng Không Yêu,Wendy Thảo,V2T Media,zingmp3,51.0,2025-07-20,"vinahouse, v-pop",1XwSFfIlwB7pZrbovT9Kvo,henhonhungkhongyeu||wendythao,"('hẹn hò nhưng không yêu', 'thảo, wendy', 'media, v2t')",0.0,Hẹn Hò Nhưng Không Yêu.mp3,1300000.0,348682.0
Em Khong The,Tiên Tiên,,new_hits_scraped_old,56.0,2018-10-27,"v-pop, vietnam indie, vinahouse",2mB6Hgr8tVaBXSOoXhHdYf,emkhongthe||tientien,"('em khong the', 'tiên', '')",1.0,Em Khong The.mp3,3000.0,18530146.0
họa sĩ tồi,thái học,,zingmp3,49.0,2025-08-10,"vinahouse, v-pop, vietnamese bolero, vietnamese lo-fi",112QD7xBOqcYhe4eFrGlxu,hoasitoi||thaihoc,"('họa sĩ tồi', 'học, thái', 'nan')",1.0,họa sĩ tồi.mp3,14900000.0,884589.0
Anh Đã Từ Bỏ Rồi Đấy,Nguyenn,,"new_hits_scraped, new_hits_scraped_old",53.0,2023-02-14,"v-pop, vietnam indie",1YW6r5WNuGOBiofHQZkyCM,anhdatuboroiday||nguyenn,"('anh đã từ bỏ rồi đấy', 'nguyenn', 'nan')",1.0,Anh Đã Từ Bỏ Rồi Đấy.mp3,19900000.0,8225777.0
Đầu Đường Xó Chợ,Obito,,spotify,59.0,2023-10-10,"v-pop, vietnamese hip hop, vietnam indie",2G5ujw3rrWcAXQqT8PVnrz,dauduongxocho||obito,"('đầu đường xó chợ', 'obito', 'nan')",0.0,Đầu Đường Xó Chợ.mp3,1300000.0,4747140.0
Thêm Bao Nhiêu Lâu,Đạt G,,spotify,60.0,2023-02-24,"v-pop, vietnamese hip hop, vinahouse",43zzuEWDotRcKlSFzrlJqs,thembaonhieulau||datg,"('thêm bao nhiêu lâu', 'g, đạt', 'nan')",0.0,Thêm Bao Nhiêu Lâu.mp3,123100000.0,5143694.0
Tay Em Cầm Thuốc,RPT Orijinn,,bsides_non_hit,13.0,2024-01-11,"vietnamese hip hop, v-pop",75T8CCYcek95gyT3SJAhkC,tayemcamthuoc||rptorijinn,"('tay em cầm thuốc', 'orijinn, rpt', 'nan')",0.0,Tay Em Cầm Thuốc.mp3,970000.0,39151.0
MỘNG YU,AMEE,,"new_hits_scraped, new_hits_scraped_old, spotify",61.0,2024-08-02,"v-pop, vietnamese hip hop, vietnam indie",5oFEvbM7lGnx8jfAkuhVyo,mongyu||amee,"('mộng yu', 'amee', 'nan')",1.0,MỘNG YU.mp3,8900000.0,27348406.0
Dau Chi Rieng Em,Mỹ Tâm,,new_hits_scraped_old,48.0,2017-12-06,"v-pop, vietnamese bolero, vietnam indie",5YW0J0Rg3VpeHP6rn1iVDv,dauchiriengem||mytam,"('dau chi rieng em', 'mỹ, tâm', '')",1.0,Dau Chi Rieng Em.mp3,94000.0,6969669.0
CÓ LẼ ANH,Fishy,,bsides_non_hit,41.0,2025-08-18,"v-pop, vietnam indie, vietnamese lo-fi",2vVB7IvcIABRW0oEf4YC4m,coleanh||fishy,"('có lẽ anh', 'fishy', 'nan')",0.0,CÓ LẼ ANH.mp3,34200000.0,370212.0
If,Vũ Cát Tường,,new_hits_scraped_old,36.0,2018-10-18,"v-pop, vietnam indie",0s7wXifcEHCo9OgELbNv8d,if||vucattuong,"('if', 'cát, tường, vũ', '')",1.0,If.mp3,10200000.0,6198783.0
NẾU KHI ẤY,Negav,,"new_hits_scraped, new_hits_scraped_old",54.0,2025-02-18,"v-pop, vietnamese hip hop, vietnam indie",40jjlmDAskFndmzjWVoCQk,neukhiay||negav,"('nếu khi ấy', 'negav', 'nan')",1.0,NẾU KHI ẤY.mp3,5200000.0,10940720.0
duyên nợ còn đâu,phạm vũ luân,,zingmp3,1.0,2025-10-30,none,00oXuoc8EYyZpg0FYJHqE3,duyennocondau||phamvuluan,"('duyên nợ còn đâu', 'luân, phạm, vũ', 'nan')",1.0,duyên nợ còn đâu.mp3,508000.0,3153.0
Em Đi Về Đâu?,Hoàng Tôn,,bsides_non_hit,21.0,2025-06-08,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",6KyqAO52R41PJ3Qu1bQhXH,emdivedau||hoangton,"('em đi về đâu?', 'hoàng, tôn', 'nan')",0.0,Em Đi Về Đâu.mp3,57000.0,98988.0
TAKE A SHOT,Show It All Vietnam (Tân Binh Toàn Năng),"Cường Bạch, Minh Quân, minhtin",zingmp3,40.0,2025-10-25,v-pop,5YgQuwLGjyy4cPHBAP2f7J,takeashot||showitallvietnamtanbinhtoannang,"('take a shot', 'all, binh, it, năng, show, toàn, tân, vietnam', 'bạch, cường, minh, minhtin, quân')",0.0,TAKE A SHOT.mp3,2000.0,86974.0
Thế Giới Này Có Nhiều Người Tốt,Trungg I.U,,bsides_non_hit,38.0,2025-06-11,"v-pop, vinahouse, vietnam indie",5Xio61DvadPZyHEzPtBbko,thegioinayconhieunguoitot||trunggiu,"('thế giới này có nhiều người tốt', 'i, trungg, u', 'nan')",0.0,Thế Giới Này Có Nhiều Người Tốt.mp3,623000.0,434390.0
Em Không Khóc,buitruonglinh,Vũ Phụng Tiên,"new_hits_scraped, new_hits_scraped_old, spotify",62.0,2022-03-28,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",4N99EuIjwSSFFFMDfTeOLU,emkhongkhoc||buitruonglinh,"('em không khóc', 'buitruonglinh', 'phụng, tiên, vũ')",1.0,Em Không Khóc.mp3,11300000.0,24630387.0
Miên Man,Minh Huy,,"new_hits_scraped, new_hits_scraped_old",59.0,2022-06-24,"v-pop, vietnam indie, vietnamese hip hop",6PJ4rafx2ufoaPaTewsRfh,mienman||minhhuy,"('miên man', 'huy, minh', 'nan')",1.0,Miên Man.mp3,14000000.0,39993112.0
Yêu Người Có Ước Mơ,buitruonglinh,,"new_hits_scraped, new_hits_scraped_old",59.0,2022-12-14,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",37rvzhxln4fXxaD6eG1bbR,yeunguoicouocmo||buitruonglinh,"('yêu người có ước mơ', 'buitruonglinh', 'nan')",1.0,Yêu Người Có Ước Mơ.mp3,45500000.0,19983813.0
"TÌNH ĐẦU QUÁ CHÉN (feat. Quang Hùng MasterD, Negav, Pháp Kiều & Erik)",ANH TRAI SAY HI,,"new_hits_scraped, new_hits_scraped_old",55.0,2024-09-18,"v-pop, vietnamese hip hop",3Nn9QjxOEj1pleW9xTG6cq,tinhdauquachen||anhtraisayhi,"('tình đầu quá chén', 'anh, hi, say, trai', 'erik, hùng, kiều, masterd, nan, negav, pháp, quang')",1.0,"TÌNH ĐẦU QUÁ CHÉN (feat. Quang Hùng MasterD, Negav, Pháp Kiều & Erik).mp3",0.0,17806871.0
Hồn Lỡ Sa Vào,Binz,,bsides_non_hit,38.0,2024-11-27,"vietnamese hip hop, v-pop, vietnam indie, vinahouse",1OcT17F9VeSAvLBlk4GBc8,honlosavao||binz,"('hồn lỡ sa vào', 'binz', 'nan')",0.0,Hồn Lỡ Sa Vào.mp3,194000.0,1561028.0
love is,dangrangto,,"new_hits_scraped_old, spotify",64.0,2023-06-27,"vietnamese hip hop, v-pop",226ljdOTLM2clGpm4mZvAm,loveis||dangrangto,"('love is', 'dangrangto', 'nan')",1.0,love is.mp3,3300000.0,28057110.0
Lac Nhau Co Phai Muon Doi (Music From “Cho Em Den Ngay Mai”),ERIK,,"new_hits_scraped, new_hits_scraped_old",56.0,2017-01-16,"v-pop, vinahouse, vietnam indie",5m6oe6saYJkVSbouNrNfUw,lacnhaucophaimuondoimusicfromchoemdenngaymai||erik,"('lac nhau co phai muon doi music from “cho em den ngay mai”', 'erik', 'nan')",1.0,Lac Nhau Co Phai Muon Doi (Music From “Cho Em Den Ngay Mai”).mp3,0.0,16555706.0
VỪA HAY THỨC GIẤC,Phạm Kỳ,,bsides_non_hit,11.0,2025-08-09,"vinahouse, v-pop, vietnamese lo-fi",3HmTBYZI5cXyrjhyof4suh,vuahaythucgiac||phamky,"('vừa hay thức giấc', 'kỳ, phạm', 'nan')",0.0,VỪA HAY THỨC GIẤC.mp3,48000.0,4944.0
Cảm Ơn Vì Đã Không Đợi Nhau,Lyly,,bsides_non_hit,18.0,2024-04-18,"v-pop, vietnamese hip hop, vietnam indie",1urtUk2MKoFPNimTPQRJcw,camonvidakhongdoinhau||lyly,"('cảm ơn vì đã không đợi nhau', 'lyly', 'nan')",0.0,Cảm Ơn Vì Đã Không Đợi Nhau.mp3,1300000.0,140091.0
phải viết bao nhiêu bản tình ca,min,,apple,55.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5D7MGNckkAAGAiDqUDFclP,phaivietbaonhieubantinhca||min,"('phải viết bao nhiêu bản tình ca', 'min', 'nan')",1.0,phải viết bao nhiêu bản tình ca.mp3,4000.0,865647.0
nụ hôn đầu,đậu tất đạt,,zingmp3,11.0,2025-10-30,"v-pop, vietnamese hip hop, vietnam indie",2cZEbXZ7i1HVn2FvXrqInO,nuhondau||dautatdat,"('nụ hôn đầu', 'tất, đạt, đậu', 'nan')",0.0,nụ hôn đầu.mp3,13000.0,1212.0
nhà tôi có treo một lá cờ,dtap,hà anh tuấn,zingmp3,52.0,2025-08-19,v-pop,2L3R75fV5mZIGDVm3nDKqI,nhatoicotreomotlaco||dtap,"('nhà tôi có treo một lá cờ', 'dtap', 'anh, hà, tuấn')",0.0,nhà tôi có treo một lá cờ.mp3,2500000.0,1691553.0
Bay Không Ngần Ngại,Double2T,,bsides_non_hit,13.0,2025-01-20,"v-pop, vietnamese hip hop",4ocI4GPtj2w7t92Xuio61q,baykhongnganngai||double2t,"('bay không ngần ngại', 'double2t', 'nan')",0.0,Bay Không Ngần Ngại.mp3,32000.0,19380.0
kho báu,(s)trong,,"apple, nct, new_hits_scraped_old, spotify, zingmp3",64.0,2025-08-14,"v-pop, vietnam indie",1enwoOU8CFAp9D3TY475sh,khobau||strong,"('kho báu', 's, trong', 'nan')",1.0,kho báu.mp3,7200000.0,7854696.0
PRE-ECHO,Lohan,"A1J, Diiton",zingmp3,15.0,2025-11-11,v-pop,6oFjIywtPgod5uHciLBsYc,preecho||lohan,"('pre echo', 'lohan', 'a1j, diiton')",0.0,PRE-ECHO.mp3,36000.0,13207.0
nỗi đau giữa hòa bình,hòa minzy,nguyễn văn chung,zingmp3,55.0,2025-08-22,"v-pop, vinahouse",0S1uRwIQF1AWR6gp4iXntl,noidaugiuahoabinh||hoaminzy,"('nỗi đau giữa hòa bình', 'hòa, minzy', 'chung, nguyễn, văn')",1.0,nỗi đau giữa hòa bình.mp3,7900000.0,2633060.0
nắng ấm trong tim,duongg,dadeon,"nct, spotify, zingmp3",57.0,2025-10-24,"vietnamese lo-fi, v-pop, vietnam indie",3rIQPhzwnHiF3PzfFVnXp5,nangamtrongtim||duongg,"('nắng ấm trong tim', 'duongg', 'dadeon')",1.0,nắng ấm trong tim.mp3,18000.0,1985016.0
Có Còn Ai Hơn Em,Anh Quân Idol,,bsides_non_hit,12.0,2019-07-01,"vinahouse, vietnamese lo-fi, v-pop",2o1k55DxOR8Odhrl54TrV9,coconaihonem||anhquanidol,"('có còn ai hơn em', 'anh, idol, quân', 'nan')",0.0,Có Còn Ai Hơn Em.mp3,328000.0,20251.0
sớm muộn thì,anh trai say hi,"hustlang robber, nhâm phương nam, mason nguyen, jaysonlei, khoi vu, lamoon","apple, nct, new_hits_scraped_old, spotify, zingmp3",46.0,2025-11-10,"v-pop, vietnamese hip hop",4yy21UkGZ7gZEGbSERllpE,sommuonthi||anhtraisayhi,"('sớm muộn thì', 'anh, hi, say, trai', 'hustlang, jaysonlei, khoi, lamoon, mason, nam, nguyen, nhâm, phương, robber, vu')",1.0,sớm muộn thì.mp3,1000000.0,3842919.0
Hai đứa nhóc,Ronboogz,,"new_hits_scraped, new_hits_scraped_old",60.0,2023-01-09,"v-pop, vietnamese hip hop, vietnam indie",3AjXaNF3TPcdi5vTiQZxva,haiduanhoc||ronboogz,"('hai đứa nhóc', 'ronboogz', 'nan')",1.0,Hai đứa nhóc.mp3,4600000.0,10736596.0
Cảm ơn,Ân ngờ,,bsides_non_hit,26.0,2024-09-23,"v-pop, vietnam indie",4B8uo4EdJadufTCcY1ia6O,camon||anngo,"('cảm ơn', 'ngờ, ân', 'nan')",0.0,Cảm ơn.mp3,2000.0,29462.0
lưới tình,j.ade,,zingmp3,28.0,2025-10-30,"v-pop, vietnam indie",2Fxyo0hUNokG0pIGFlTWII,luoitinh||jade,"('lưới tình', 'ade, j', 'nan')",1.0,lưới tình.mp3,147000.0,19441.0
hãy trao cho anh,sơn tùng m-tp,snoop dogg,"nct, new_hits_scraped_old",55.0,2019-07-02,"v-pop, vinahouse, vietnamese hip hop",5x5Vx0Musv3LSUKzjY73mA,haytraochoanh||sontungmtp,"('hãy trao cho anh', 'm-tp, sơn, tùng', 'dogg, snoop')",1.0,hãy trao cho anh.mp3,700000.0,33360076.0
CHUYỆN ĐÔI TA,Show It All Vietnam (Tân Binh Toàn Năng),"Minh Hiếu, Cường Bạch, Lâm Anh",zingmp3,44.0,2025-08-03,v-pop,0SclCApqwaZLVfvLFZzONv,chuyendoita||showitallvietnamtanbinhtoannang,"('chuyện đôi ta', 'all, binh, it, năng, show, toàn, tân, vietnam', 'anh, bạch, cường, hiếu, lâm, minh')",0.0,Chuyện Đôi Ta - Tân Binh Toàn Năng.mp3,2000.0,675968.0
Em Là,MONO,,"new_hits_scraped, new_hits_scraped_old",58.0,2022-08-18,"v-pop, vietnamese hip hop, vinahouse",6GxdtMg7DdomU79EodUpfk,emla||mono,"('em là', 'mono', 'nan')",1.0,Em Là.mp3,17000000.0,24762414.0
Chữ Tình Chữ Yêu,Quang Đăng Trần,,bsides_non_hit,17.0,2024-04-10,"vietnamese lo-fi, v-pop, vinahouse",19n32XY23oLII9Gb0s7Pwk,chutinhchuyeu||quangdangtran,"('chữ tình chữ yêu', 'quang, trần, đăng', 'nan')",0.0,Chữ Tình Chữ Yêu.mp3,1100000.0,27849.0
đừng yêu một người như,du uyên,,zingmp3,10.0,2025-10-29,"v-pop, vinahouse, vietnamese hip hop",6vH7sYEbvUcHwwJKQvW2xH,dungyeumotnguoinhu||duuyen,"('đừng yêu một người như', 'du, uyên', 'nan')",0.0,đừng yêu một người như.mp3,318000.0,14249.0
ước anh nhiều nỗi buồn,charmy pham,,apple,23.0,2025-11-11,"v-pop, vinahouse",6zyZJEl43HJwmalzO1Lj1J,uocanhnhieunoibuon||charmypham,"('ước anh nhiều nỗi buồn', 'charmy, pham', 'nan')",0.0,ước anh nhiều nỗi buồn.mp3,2000.0,478262.0
Simple things,Ân ngờ,,bsides_non_hit,31.0,2024-12-19,"v-pop, vietnam indie",3ottEtcULhOtKeWwnTfmZd,simplethings||anngo,"('simple things', 'ngờ, ân', 'nan')",0.0,Simple things.mp3,3000.0,60526.0
ĐÊM GIÁNG SINH MÙA HẠ,ANH TRAI SAY HI,"buitruonglinh, BigDaddy, Phúc Du, Đỗ Nam Sơn, VƯƠNG BÌNH","apple, nct, spotify, zingmp3",0.0,2025-11-18,"v-pop, vietnamese hip hop",2hS6LfQmkTvbax0FN9a7rs,demgiangsinhmuaha||anhtraisayhi,"('đêm giáng sinh mùa hạ', 'anh, hi, say, trai', 'bigdaddy, buitruonglinh, bình, du, nam, phúc, sơn, vương, đỗ')",1.0,ĐÊM GIÁNG SINH MÙA HẠ.mp3,308000.0,594900.0
ghé qua,pc,"dick, tofutns",spotify,62.0,2018-03-17,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",6Q2oEdOhRjZ1DTv2a7j0lN,ghequa||pc,"('ghé qua', 'pc', 'dick, tofutns')",0.0,ghé qua.mp3,48000.0,35986395.0
Ừ Thì Chia Tay (feat. RHYDER),CAPTAIN BOY,,"new_hits_scraped, new_hits_scraped_old",58.0,2024-10-23,"v-pop, vietnamese hip hop",0HAfl1uPBf5qTMiuAi6Ym7,uthichiatay||captainboy,"('ừ thì chia tay', 'boy, captain', 'nan, rhyder')",1.0,Ừ Thì Chia Tay (feat. RHYDER).mp3,32000.0,14077540.0
ưng quá chừng,AMEE,,new_hits_scraped_old,43.0,2023-03-05,"v-pop, vietnamese hip hop, vietnam indie",2ZJTmYNOA8k21yUtLXJG57,ungquachung||amee,"('ưng quá chừng', 'amee', '')",1.0,ưng quá chừng.mp3,22800000.0,14245894.0
Stay Here,Mỹ Mỹ,Machiot,zingmp3,34.0,2025-10-16,"v-pop, vietnamese hip hop",7eurRVoiYCgVTcrulf82Sp,stayhere||mymy,"('stay here', 'mỹ', 'machiot')",0.0,Stay Here.mp3,34000.0,50227.0
TỎA SÁNG NHƯ NHỮNG VÌ SAO,Lyly,,bsides_non_hit,24.0,2024-11-16,"v-pop, vietnamese hip hop, vietnam indie",4ahhPCNKvLDXnf4CML4J9Y,toasangnhunhungvisao||lyly,"('tỏa sáng như những vì sao', 'lyly', 'nan')",0.0,TỎA SÁNG NHƯ NHỮNG VÌ SAO.mp3,545000.0,56109.0
Mamma Mia,HIEUTHUHAI,,"new_hits_scraped, new_hits_scraped_old",50.0,2022-05-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",4uZs35Zm7ivjQCM7v5nQj8,mammamia||hieuthuhai,"('mamma mia', 'hieuthuhai', 'nan')",1.0,Mamma Mia.mp3,10300000.0,11221681.0
Khó Vẽ Nụ Cười (feat. Du Uyen),Đạt G,,"new_hits_scraped, new_hits_scraped_old",56.0,2019-09-17,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",0piLGIj0C7RR4B2gowEqmO,khovenucuoi||datg,"('khó vẽ nụ cười', 'g, đạt', 'du, nan, uyen')",1.0,Khó Vẽ Nụ Cười (feat. Du Uyen).mp3,0.0,14495492.0
Dễ,Chillies,,bsides_non_hit,32.0,2025-10-16,"v-pop, vietnam indie, vietnamese hip hop",3eM6AneZiunCYqHorMpf0l,de||chillies,"('dễ', 'chillies', 'nan')",0.0,Dễ.mp3,233.0,46272.0
lệ ngang trời,hồ nhi,a tuân,zingmp3,28.0,2025-06-27,none,0efBHrS8V1AcHTDRynEG5g,lengangtroi||honhi,"('lệ ngang trời', 'hồ, nhi', 'a, tuân')",1.0,lệ ngang trời.mp3,5800000.0,6192.0
Thì Vui Biết Mấy,The Flob,Phùng Khánh Linh,zingmp3,28.0,2025-12-04,"vietnam indie, v-pop",3zmbgVpXt5neIPtuvMub0i,thivuibietmay||theflob,"('thì vui biết mấy', 'flob, the', 'khánh, linh, phùng')",0.0,Thì Vui Biết Mấy.mp3,13000.0,68351.0
Tò Te Tí,Wren Evans,,"new_hits_scraped, new_hits_scraped_old",56.0,2023-12-17,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",0X28PqBpbQhWdi4usYw0w5,toteti||wrenevans,"('tò te tí', 'evans, wren', 'nan')",1.0,Tò Te Tí.mp3,0.0,25301651.0
do em,Ánh Sáng AZA,,bsides_non_hit,27.0,2024-11-28,v-pop,2HB9qkxBo8wzvAjpLDT2u9,doem||anhsangaza,"('do em', 'aza, sáng, ánh', 'nan')",0.0,do em.mp3,102000.0,154150.0
chẳng phải tình đầu sao đau đến thế,min,"dangrangto, antransax","apple, nct, new_hits_scraped_old, spotify",67.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3T7XHOdRcyhKU3QCB6kZG3,changphaitinhdausaodaudenthe||min,"('chẳng phải tình đầu sao đau đến thế', 'min', 'antransax, dangrangto')",1.0,chẳng phải tình đầu sao đau đến thế.mp3,64000.0,7219266.0
Lặng,Rhymastic,,"new_hits_scraped, new_hits_scraped_old",59.0,2024-07-09,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6f7M5UzYYeLFCMIBQhxk2J,lang||rhymastic,"('lặng', 'rhymastic', 'nan')",1.0,Lặng.mp3,12000.0,18973813.0
