file_name,spotify_track_id,sent_lexicon,score_lexicon,sent_phobert,conf_phobert,final_sentiment,lyric_total_words,lexical_diversity,noun_count,verb_count,adj_count
3 chìm 7 nổi - anh trai say hi.mp3,3UQouvdHGIq4CZokiahPYv,negative,-0.0324,neutral,0.8884,negative,554.0,0.4368,147.0,177.0,23.0
3 nhịp tim - minh huy.mp3,6NBoKEfIDYhQp5ihq0yK67,negative,-0.0251,positive,0.8665,negative,438.0,0.4475,165.0,152.0,10.0
3107 3 - wn.mp3,1EmMFSLRVkOszCa4ul9z0F,negative,-0.0946,neutral,0.7397,negative,362.0,0.5,103.0,88.0,31.0
"3107 4 (feat. erik, nâu) - wn.mp3",45PPoUgqs3JrhkZGEzSUHT,negative,-0.0191,positive,0.6612,negative,358.0,0.4609,104.0,113.0,8.0
4 seasons - puppy.mp3,0A0VJ0baqBhaV8sUQMHn45,negative,-0.0127,positive,0.9183,negative,486.0,0.5041,131.0,149.0,25.0
40 độ - wxrdie.mp3,2ovdRoyydcBuggCaVdz6Mn,neutral,-0.0031,neutral,0.8983,neutral,548.0,0.4635,177.0,186.0,36.0
60 năm cuộc đời - miu lê.mp3,3g26gTFB1RNrIZOdMAruLJ,positive,0.014,positive,0.9429,positive,100.0,0.43,39.0,22.0,6.0
"7 lần vấp ngã, 8 lần đứng lên - miina.mp3",4tEPSQEDcZR8vAxKgfmiwz,negative,-0.0852,negative,0.8416,negative,374.0,0.3824,111.0,108.0,27.0
808 dollar bills - low g.mp3,1Pkh3r9oPKy34C1JteOrHK,negative,-0.0117,positive,0.8518,negative,492.0,0.6016,163.0,156.0,27.0
9 tầng mây - miina.mp3,3XSW8oRNwe4G5ZlFQkfaXV,positive,0.0406,positive,0.9928,positive,424.0,0.4151,146.0,133.0,21.0
906090 (feat. mew amazing) - tóc tiên.mp3,5PleYXHjjFbeSsF8U1zFH6,positive,0.011,positive,0.835,positive,393.0,0.3766,149.0,132.0,14.0
a đến ă - dương domic.mp3,1YHmgJCPdvqAmiijOhRGyc,positive,0.0206,positive,0.9819,positive,407.0,0.3415,146.0,133.0,18.0
aaa - em xinh say hi.mp3,2R1sqa3gaeCXkqwjNF6YLC,positive,0.0207,positive,0.9757,positive,661.0,0.4281,253.0,243.0,29.0
ai cho anh lương thiện - karik.mp3,0EZRO9aheeMjRXUZaOshre,neutral,-0.0073,negative,0.7932,neutral,433.0,0.4965,109.0,145.0,27.0
ai cũng phải lớn - soobin.mp3,4Gs3MrfMQub2r90VWmcnMZ,negative,-0.0229,neutral,0.7606,negative,415.0,0.4072,114.0,115.0,28.0
ai lớn cũng phải - captain boy.mp3,5e21jDDiJOuoAMd2k8FNn2,negative,-0.0642,negative,0.6716,negative,465.0,0.329,94.0,152.0,48.0
ai muốn nghe không - đen.mp3,1WCAkmmTM06in2ojuQ9CK5,negative,-0.0192,neutral,0.7292,negative,935.0,0.4182,238.0,331.0,50.0
ai mà biết được (feat. tlinh) - soobin.mp3,13s4FKMfyzDRFGsfTLAw81,negative,-0.0372,neutral,0.8211,negative,521.0,0.4069,130.0,168.0,19.0
all eyes on us - anh trai say hi.mp3,6qRnm1fiL5ra9wVKQplxI4,negative,-0.018,positive,0.8951,negative,929.0,0.451,326.0,339.0,24.0
all the fans - rhymastic.mp3,6YZUeBdhpZ3xEcfGeMQje7,neutral,0.0063,neutral,0.7576,neutral,528.0,0.4678,122.0,158.0,30.0
alright (alternative) - the flob.mp3,49kgdKeH2eWAjerLm8Zpd5,negative,-0.0609,positive,0.8203,negative,220.0,0.5227,77.0,70.0,10.0
alright - the flob.mp3,4hsmkCSzPDMRKC266MS4Xn,negative,-0.0609,positive,0.8203,negative,220.0,0.5227,77.0,70.0,10.0
an thần - low g.mp3,5C3fx9rdM4Bxf1MSOQC4Ym,negative,-0.0146,neutral,0.8249,negative,432.0,0.3704,165.0,117.0,17.0
anh chưa thương em đến vậy đâu - myra trần.mp3,3QD2NfLEIvMRbzv2uTu4B7,negative,-0.0334,positive,0.8377,negative,350.0,0.26,96.0,80.0,20.0
anh chưa từng hết yêu - buitruonglinh.mp3,0JiQ1eXXKAgBBh8KQUgrEh,negative,-0.1364,positive,0.4911,negative,274.0,0.5255,83.0,78.0,21.0
anh chẳng thể - phạm kỳ.mp3,3c8s2bCBk3cn8Taete6Q5B,negative,-0.095,positive,0.8638,negative,339.0,0.4159,100.0,101.0,28.0
anh chỉ muốn - ronboogz.mp3,2n00rcPaXcWfFB9irOKOmh,negative,-0.0203,negative,0.7515,negative,477.0,0.4507,139.0,126.0,26.0
anh cũng biết đau - khả hiệp.mp3,2L9V1feDzzZbg6rPfjU45g,negative,-0.0666,negative,0.716,negative,436.0,0.2523,154.0,129.0,22.0
anh ghét làm bạn em - phan mạnh quỳnh.mp3,4smnf0NaOxGtMcTLOLBw16,positive,0.0122,positive,0.9776,positive,549.0,0.2477,184.0,149.0,26.0
anh không cố ý (feat. limitlxss & ogenus) - rap việt.mp3,5RuZw8NsvI4BSlmI2yqgeS,negative,-0.0151,positive,0.8453,negative,700.0,0.3786,218.0,214.0,46.0
anh luôn như vậy - b ray.mp3,3CyGK8BeJ5iCunpzvHyINs,neutral,-0.0046,positive,0.7693,neutral,386.0,0.5751,147.0,110.0,19.0
"anh là ai (feat. dick, dt & umie) - rap việt.mp3",6HpkHTTwfVmSoopeloHqOp,negative,-0.0589,neutral,0.7746,negative,778.0,0.3792,265.0,213.0,28.0
anh là ai - phương ly.mp3,3gLRyMbg5nWLcuKD46Uz72,negative,-0.0289,positive,0.613,negative,363.0,0.2259,99.0,135.0,17.0
anh là của em - karik.mp3,6bVXD2LVlWNEKzftWhFKVD,negative,-0.0167,positive,0.8183,negative,462.0,0.3571,167.0,134.0,15.0
anh là ngoại lệ của em - phương ly.mp3,6KgZf5gZgF1KLNxq1qZgHP,positive,0.025,positive,0.9219,positive,432.0,0.2847,132.0,133.0,31.0
anh là thằng tồi - phùng khánh linh.mp3,6GPcbZOX4h9MWert6xWpYw,negative,-0.0253,positive,0.7674,negative,249.0,0.4618,89.0,70.0,18.0
anh lại làm em khóc nữa rồi - khiem.mp3,2JNrm4tcukECnbEPcS0lln,negative,-0.0464,negative,0.8725,negative,309.0,0.3948,86.0,85.0,20.0
anh lại say rồi - phan duy anh.mp3,2xO02FYqG0OKm53WwEU4FL,negative,-0.0808,positive,0.9008,negative,169.0,0.6864,56.0,50.0,7.0
anh muốn em sống sao - bảo anh.mp3,2rYNZ11xKh4Rb8vfobSVoN,neutral,0.0098,positive,0.7985,neutral,321.0,0.2336,107.0,97.0,11.0
anh muốn nhìn thấy em - the wind.mp3,5VGOYjxkEaf19LoRPIolD2,negative,-0.0298,positive,0.7659,negative,590.0,0.3949,182.0,150.0,32.0
anh muốn - par sg.mp3,3N02LWl86YenzSDo7JegsG,neutral,0.0074,positive,0.8045,neutral,610.0,0.2885,208.0,180.0,44.0
anh sẽ chẳng buồn đâu - doãn hiếu.mp3,5nIjIE2ZC0Q3sUqdMh2K21,negative,-0.0146,positive,0.7166,negative,335.0,0.4119,83.0,104.0,11.0
anh sẽ về sớm thôi - vũ duy khánh.mp3,5HcJuxTPZprZegfyQJh5H5,negative,-0.0163,positive,0.9911,positive,386.0,0.272,126.0,89.0,30.0
anh sẽ về - the men.mp3,2aUzsY27OWT3v7OJgQgVdt,negative,-0.0647,positive,0.9878,negative,324.0,0.2994,94.0,98.0,17.0
anh sẽ đến bên em - anh quân idol.mp3,4g1PBqbsoxf2GdcLT0hGTu,negative,-0.0273,positive,0.9818,negative,141.0,0.617,54.0,35.0,6.0
anh sợ mất em - the men.mp3,1ZSf4bAstHZQjXgzMK2VbJ,negative,-0.0386,positive,0.7545,negative,299.0,0.3144,119.0,83.0,22.0
anh sợ yêu - anh quân idol.mp3,0Oipf6ZDbyRu53s1FbLXqw,negative,-0.0503,positive,0.6266,negative,306.0,0.2647,67.0,100.0,30.0
anh thua anh ta - gia huy singer.mp3,2JLbmO8Hs5LHJRUMxQefwM,negative,-0.0251,negative,0.7847,negative,334.0,0.2964,101.0,99.0,18.0
anh thua người ta nhiều lắm - nb3 hoài bảo.mp3,38I9WxdCEH2nlKAHsAayyI,negative,-0.1274,negative,0.5509,negative,368.0,0.2636,103.0,96.0,39.0
anh thề đấy - thanh hưng.mp3,6Jt48FX3ASdqdKw3d9qcjq,neutral,-0.0058,positive,0.9442,neutral,362.0,0.3453,112.0,99.0,26.0
anh tin mình đã cho nhau một kỷ niệm - ronboogz.mp3,2oetBTEeahr6Sl8EWRahTc,negative,-0.03,positive,0.85,negative,631.0,0.4041,205.0,179.0,27.0
"anh trai hip hop (feat. b ray, hustlang robber & gill) - rap việt.mp3",55SCsHZBHo0W063W41WLrM,positive,0.0166,positive,0.8956,positive,863.0,0.4229,293.0,304.0,25.0
anh tệ lắm đúng không - tăng duy tân.mp3,0oj4vzdfwAivhj93FD1jJq,negative,-0.0297,negative,0.6736,negative,413.0,0.322,113.0,123.0,37.0
anh tự do nhưng cô đơn (feat. quân a.p) - trung quân.mp3,0BwSWW6sEqPGirlVhj0TfG,negative,-0.0793,negative,0.8561,negative,357.0,0.3445,96.0,113.0,29.0
anh vui - phạm kỳ.mp3,7asicziv1NB49eEA1ZPp2O,negative,-0.0172,positive,0.8593,negative,244.0,0.4467,73.0,67.0,16.0
anh yêu em - khắc việt.mp3,6S2KsdwN6EaK3mIsUzFOAT,negative,-0.0303,positive,0.9878,negative,416.0,0.1659,156.0,82.0,22.0
anh đang nơi đâu - miu lê.mp3,4DDHMiANxbKepayNuhjbSk,negative,-0.0284,negative,0.6244,negative,283.0,0.3357,113.0,71.0,18.0
anh đi tìm ai - pháp kiều.mp3,6fyL05j6x6mkmoXs5s1M7L,negative,-0.0187,negative,0.768,negative,542.0,0.3026,150.0,185.0,9.0
anh đâu muốn thấy em buồn - châu khải phong.mp3,3uxoAia3RTpIzg5ciWmD1k,negative,-0.1113,negative,0.7936,negative,406.0,0.2808,90.0,132.0,9.0
anh đã chờ rất lâu - sixkie dawgz.mp3,5NWkYMp7RhANkoJqk3ZBGh,negative,-0.0244,positive,0.9076,negative,516.0,0.4787,163.0,151.0,27.0
anh đã không biết cách yêu em - quang đăng trần.mp3,1hPbWyZnUPaeAWbOSKwkXJ,negative,-0.087,neutral,0.5926,negative,386.0,0.2617,100.0,124.0,23.0
anh đã làm gì đâu (feat. nhật hoàng & thùy chi) - rap việt.mp3,37ull7GiBZRLhWYDBIYZzW,negative,-0.0197,positive,0.8565,negative,679.0,0.4816,187.0,191.0,47.0
anh đã mang đi thứ gì - hà nhi.mp3,67Wq8eOJTIfx0xbyOGH91l,negative,-0.0277,positive,0.8994,negative,303.0,0.33,92.0,87.0,24.0
anh đã quen với cô đơn - thành đạt.mp3,4CwwqMxBkA3PhzYLWHJ7uS,negative,-0.0246,positive,0.9276,negative,313.0,0.4058,99.0,89.0,17.0
anh đã quen với cô đơn - soobin.mp3,39KWnPNEvbXt423CzjvBfA,negative,-0.0281,positive,0.9562,negative,281.0,0.4306,88.0,81.0,10.0
anh đã từ bỏ rồi đấy - nguyenn.mp3,1YW6r5WNuGOBiofHQZkyCM,negative,-0.0529,neutral,0.845,negative,496.0,0.4617,141.0,135.0,15.0
anh đã vừa lòng chưa - phí phương anh.mp3,2xKjEGY1vm5dUUYalgDcGj,negative,-0.073,positive,0.8393,negative,350.0,0.3171,100.0,125.0,25.0
anh đã ổn hơn - rpt mck.mp3,3YctJXK6kznnWl68TnYobN,negative,-0.0207,positive,0.979,negative,208.0,0.4471,72.0,56.0,8.0
anh đếch cần gì nhiều ngoài em - đen.mp3,5ppEcbmLECxrMYgDxwIJaP,neutral,-0.0088,positive,0.9403,neutral,397.0,0.3955,121.0,121.0,36.0
anh đợi em được không - mỹ tâm.mp3,2P9M7q49JXnwiab4TosOpW,negative,-0.0458,positive,0.7273,negative,344.0,0.3285,86.0,108.0,38.0
anh đứng đây từ giờ tới mai - buitruonglinh.mp3,0vIa1HE062RP82Tpob5nZa,negative,-0.0452,positive,0.92,negative,363.0,0.6226,109.0,97.0,25.0
anh ơi ở lại - chi pu.mp3,0VBv6oyMgeEBOIysaSV9aE,negative,-0.0482,negative,0.7681,negative,312.0,0.4295,96.0,94.0,24.0
anh ở đây mà - đức phúc.mp3,3XMNQ51G4mDsSa7o7QLJiS,neutral,0.0021,positive,0.986,positive,301.0,0.3754,96.0,70.0,18.0
are you sad - b ray.mp3,4aHt5tkyVoMonpPGAehUcD,neutral,-0.0094,positive,0.9284,neutral,495.0,0.4606,186.0,147.0,15.0
ba ơi về nhà - nguyen van chung.mp3,67NoneajoTs1kIkuZPUYSo,negative,-0.0236,positive,0.9855,negative,148.0,0.3176,37.0,32.0,17.0
baby gọi cho anh (feat. captain & umie) - rap việt.mp3,6MgCMS8q3NA89TnVuPLvIN,neutral,-0.0005,positive,0.8897,neutral,548.0,0.3814,191.0,175.0,10.0
bad day - prod. minboo.mp3,6xsIZI07pWiS3Br1gvrhMS,negative,-0.0531,neutral,0.845,negative,398.0,0.4146,113.0,125.0,25.0
badbye - wean.mp3,78lw4wahFNotXb0mOEtPkM,neutral,0.0001,positive,0.8035,neutral,311.0,0.3312,100.0,108.0,17.0
badtrip - rpt mck.mp3,33SYx5viijwLGMqfl50FKI,neutral,0.0047,negative,0.9276,neutral,604.0,0.4189,154.0,192.0,46.0
bae dont cry - quang hùng masterd.mp3,0KpTLc4j4v74wNtQYMXthI,negative,-0.0975,neutral,0.7601,negative,598.0,0.3395,207.0,216.0,29.0
bao lâu chưa về nhà - datkaa.mp3,7FsoexgDQeG9xKPRaEVdzo,neutral,0.0082,positive,0.7774,neutral,575.0,0.3635,190.0,206.0,23.0
bao lâu ta lại yêu một người - doãn hiếu.mp3,2KPmisfkIZlWm1N4Ni4HpB,negative,-0.0678,positive,0.7946,negative,319.0,0.4514,84.0,97.0,13.0
bao lời hoa mỹ - lynk lee.mp3,3AZDALZvdI3JqNEYeNRSE8,negative,-0.0117,positive,0.9373,negative,432.0,0.5069,150.0,118.0,33.0
bao nhiêu lâu sau - trungg i.u.mp3,6coLZLa1kA9e0osvYQo5Yq,negative,-0.02,positive,0.839,negative,402.0,0.2612,124.0,103.0,29.0
bao tiền một mớ bình yên - 14 casper.mp3,7kgzRBNkBRArtTPkYjWLYT,negative,-0.0497,neutral,0.7375,negative,357.0,0.5014,92.0,110.0,30.0
bay giữa ngân hà - an vũ.mp3,4X7eb0IKfCcr1oLmoSsq4j,positive,0.0255,positive,0.9642,positive,260.0,0.3808,78.0,56.0,19.0
bay không cần cánh - rhyder.mp3,4yVjUXGvBqnHhoP322fSZr,neutral,-0.0032,positive,0.6745,neutral,326.0,0.5031,87.0,127.0,15.0
bay không ngần ngại - double2t.mp3,4ocI4GPtj2w7t92Xuio61q,neutral,0.0052,positive,0.986,positive,363.0,0.5096,93.0,120.0,31.0
be a fool - vũ cát tường.mp3,2dURSB1lDn5qiOyHLEZ34I,negative,-0.0144,positive,0.8554,negative,501.0,0.4092,174.0,181.0,26.0
berlin - khoi vu.mp3,32K6zBYFUUxKrdsoZd7k3v,positive,0.0205,positive,0.9828,positive,335.0,0.4537,109.0,113.0,20.0
between us - soobin.mp3,1yoWvspVArNspRKjqbOylu,negative,-0.0211,positive,0.9296,negative,330.0,0.3667,107.0,66.0,21.0
biên giới long bình - shiki.mp3,5KXRShxe6Y54ueBSnq3ck7,neutral,-0.0078,negative,0.9334,neutral,490.0,0.4531,146.0,155.0,32.0
biết chi nhiều - pháp kiều.mp3,1mtU80oviSvkF0jJzNhkjn,neutral,-0.0059,negative,0.9103,neutral,623.0,0.3226,102.0,225.0,35.0
biết khi nào gặp lại - mỹ tâm.mp3,6kgIKUdGJQOapfU7uMxUGH,negative,-0.0446,positive,0.7242,negative,244.0,0.373,66.0,70.0,7.0
biết điều - jsol.mp3,6gkzQSY3CGAWCLYQvQPPor,positive,0.0185,positive,0.9896,positive,493.0,0.2535,158.0,154.0,20.0
blackjack - soobin.mp3,5pjrSk2jdRrFUfQuCQrQC9,neutral,-0.0019,positive,0.9025,neutral,463.0,0.4104,190.0,146.0,32.0
bo xì bo - hoàng thùy linh.mp3,4X2iEvLVDm1Acd8Xmxw1ZC,neutral,0.0091,positive,0.6994,neutral,424.0,0.3019,133.0,135.0,11.0
bounce - anh trai say hi.mp3,7FKy1BAhuZ0uPHnFy6FxyV,neutral,-0.0016,positive,0.8137,neutral,681.0,0.3421,248.0,229.0,34.0
buông - bùi anh tuấn.mp3,67Cxa088HT5J5OJ0SWB6Ip,positive,0.0215,positive,0.9886,positive,341.0,0.3548,112.0,107.0,11.0
buông - minh đinh.mp3,2HdqYXq0yAPsP7FfN9Vxy5,negative,-0.0428,positive,0.5864,negative,188.0,0.4255,30.0,61.0,10.0
buông - mono.mp3,7ISZwoyCfHGvrtRTU9DQ8o,negative,-0.1425,positive,0.774,negative,221.0,0.5385,65.0,79.0,20.0
buông đôi tay nhau ra - sơn tùng m-tp.mp3,3P3rcI48wwVEgxF5vPM6pG,negative,-0.1219,neutral,0.6669,negative,458.0,0.2686,169.0,182.0,21.0
buồn không em - đạt g.mp3,6VGcmGYg97WOV2MANYnS4x,negative,-0.088,positive,0.7555,negative,435.0,0.2851,138.0,116.0,46.0
buồn không thể buông - miina.mp3,4jIpfY0KKh0ZYg4skJJ7kb,negative,-0.1494,negative,0.7868,negative,464.0,0.3879,114.0,146.0,34.0
buồn làm chi em ơi - hoài lâm.mp3,24kwZyv96w9wE10XjbLFwh,negative,-0.101,negative,0.9555,negative,222.0,0.5045,56.0,95.0,17.0
buồn nhẹ nhàng thôi - masew.mp3,66oYgq66gCp0BaXxXGqH8D,negative,-0.0459,neutral,0.5495,negative,229.0,0.559,65.0,62.0,12.0
buồn nốt hôm nay - tăng duy tân.mp3,6aZqPwibyObVLnHupmLmP2,negative,-0.0911,positive,0.7807,negative,449.0,0.3007,148.0,103.0,26.0
buồn thì cứ khóc đi - lynk lee.mp3,6iXGivPFpsqKmrINhIbPvx,negative,-0.0358,positive,0.8241,negative,342.0,0.4123,79.0,97.0,28.0
buồn thật đấy - sofia.mp3,6LmOwhZnpkZmGyS737d9mH,negative,-0.0347,negative,0.8735,negative,121.0,0.7934,26.0,31.0,12.0
buồn - vũ duy khánh.mp3,55asYuw0u0QYLONIIrnLOm,negative,-0.1019,negative,0.5136,negative,390.0,0.2795,134.0,115.0,35.0
bà năm - phương mỹ chi.mp3,6jLHn8YbddqS0w7mW7unFY,negative,-0.0303,negative,0.8618,negative,173.0,0.5665,73.0,61.0,13.0
bài ca tình yêu - trung quân.mp3,27xxDQLyqnEN7pCFqI8oun,positive,0.0169,positive,0.9889,positive,352.0,0.2784,169.0,109.0,33.0
bài ca tôm cá - dtap.mp3,4FHfiVbxrJ0jkBRykvurcT,neutral,-0.0086,positive,0.9081,neutral,285.0,0.2456,84.0,109.0,13.0
bài hát chưa xong - lê bảo bình.mp3,6Nd92S879jK3mq2ftKskPx,negative,-0.028,positive,0.5913,negative,300.0,0.28,94.0,88.0,23.0
bài học quý giá - pc.mp3,5CDDI7NsITmyJI6hgvXBAd,negative,-0.0441,negative,0.6528,negative,524.0,0.3779,160.0,173.0,13.0
bài này chill phết - đen.mp3,2nR51wakN5K3AJENqGaNg9,neutral,0.0068,positive,0.8727,neutral,893.0,0.4121,325.0,248.0,46.0
bài này không để đi diễn - anh tú atus.mp3,2DeraySaI3fomlDF6S2NZa,neutral,0.0024,positive,0.9895,positive,296.0,0.3074,89.0,72.0,12.0
bánh cuốn - quân a.p.mp3,7KLi2Tv6KPtuC1N1FDhbZE,neutral,-0.0009,positive,0.8886,neutral,357.0,0.4538,85.0,125.0,21.0
bâng khuâng - justatee.mp3,2gaAcgDNzxHMgYO5SmsY0I,negative,-0.0644,negative,0.661,negative,499.0,0.3307,161.0,165.0,25.0
bé ơi từ từ - wren evans.mp3,0tGmDUHDoT8pxYhgAT3yNG,neutral,0.0019,positive,0.9913,positive,371.0,0.3558,134.0,106.0,37.0
bên nhau mình là nhà - vũ cát tường.mp3,1aTOEnRbXz6TJYKgZcW6Lg,negative,-0.0282,positive,0.8836,negative,335.0,0.394,125.0,95.0,30.0
bên trên tầng lầu - tăng duy tân.mp3,0Cy7uOfTjJrmHkNEPBBZxf,negative,-0.1195,negative,0.8255,negative,243.0,0.3992,73.0,87.0,10.0
bình yên (buonhonmotchut) (feat. goddy) - táo.mp3,6j5pDQVIiz6FW4lWHkcoet,negative,-0.0252,negative,0.7788,negative,458.0,0.4367,152.0,144.0,45.0
bình yên - vũ..mp3,41DlPJXKTCypXdf2eSqa03,negative,-0.0129,positive,0.7483,negative,422.0,0.4289,161.0,106.0,33.0
bí mật nhỏ - anh trai say hi.mp3,3FMIIcL90MMeDZIuein5Pl,negative,-0.0301,positive,0.8488,negative,588.0,0.4898,224.0,206.0,24.0
bóng tối yêu đời - lyhan.mp3,3b95RXhPw2BBufUMhTzPPw,negative,-0.0533,negative,0.5579,negative,243.0,0.3827,59.0,67.0,18.0
bông hoa nhài - justatee.mp3,6p5YdzjbV80ZmzIwk3rvMr,negative,-0.049,positive,0.9739,negative,476.0,0.3718,202.0,159.0,21.0
bông hoa đẹp nhất - quân a.p.mp3,4TyQKEifYDWTfTSRwpxlYI,neutral,-0.0095,positive,0.7122,neutral,404.0,0.2426,153.0,103.0,21.0
bùa yêu - bích phương.mp3,1ZrADntHAYV84R2y1Op3Eg,negative,-0.0292,positive,0.9799,negative,312.0,0.2692,94.0,104.0,6.0
bút chì bạc - thắng.mp3,0Cha5Fz6qQ7M6YjkeQrMMk,neutral,0.0074,positive,0.9575,positive,571.0,0.2995,253.0,178.0,22.0
băng qua cầu giấy - wxrdie.mp3,12rIwDpMKwx77nV5O998nB,neutral,0.0017,positive,0.7297,neutral,577.0,0.383,166.0,189.0,29.0
bước qua mùa cô đơn - vũ..mp3,6uxuJ8Fr1AAfSPJUF9N1yr,negative,-0.0687,positive,0.9322,negative,307.0,0.3681,96.0,100.0,16.0
bước qua nhau - vũ..mp3,38rjRVqEHSlDRrDWDvjkqW,negative,-0.0298,positive,0.6577,negative,264.0,0.3788,75.0,72.0,7.0
bước qua tổn thương có dễ dàng - hà nhi.mp3,06PctyPqvdwUiFRyYHCb0h,negative,-0.1232,neutral,0.6629,negative,343.0,0.4956,105.0,114.0,32.0
bước qua đời nhau - khắc việt.mp3,06sy0FYf7LKMH5Mm18b9nj,negative,-0.0485,negative,0.7328,negative,260.0,0.2846,62.0,70.0,16.0
bước za đi xa - wxrdie.mp3,3ER1r0HipeSSu7YNImC6vd,negative,-0.0334,neutral,0.65,negative,341.0,0.4282,88.0,111.0,19.0
bước đến bên em - the masked singer.mp3,11JjNxnyaQgDIp1zfj0Q2R,positive,0.0163,positive,0.9918,positive,535.0,0.2841,209.0,156.0,40.0
bạch nguyệt quang - táo.mp3,0IbSn77m6lTkFyu6zKn7Fd,negative,-0.0757,neutral,0.7105,negative,306.0,0.5654,85.0,86.0,23.0
bạn trai - 14 casper.mp3,2ZQvHKIkQZgbhpPSuWUNvw,negative,-0.0137,neutral,0.8466,negative,675.0,0.4119,200.0,180.0,35.0
bản nhạc cuối (cho em) - b ray.mp3,2jR3Qoe7UF4GFgFl9zvLrS,neutral,-0.0068,positive,0.9417,neutral,378.0,0.5238,137.0,102.0,16.0
bảo bối - văn mai hương.mp3,3JFYH1jrZQHmm10g0h6aCx,negative,-0.0365,positive,0.9858,negative,259.0,0.5521,111.0,68.0,17.0
bảo tàng - low g.mp3,6w7IiMYTvM8xAofmWbwTcA,negative,-0.0227,neutral,0.8888,negative,600.0,0.465,172.0,187.0,30.0
bảy anh em - minh huy.mp3,41zYfaGTNUQq5nML5fveS9,negative,-0.0169,negative,0.9798,negative,425.0,0.4565,155.0,141.0,15.0
bầu trời mới - da lab.mp3,7fCeYpR02Q8JVuD88hJZVT,negative,-0.0256,positive,0.6501,negative,570.0,0.4,186.0,161.0,30.0
bận tâm - coolkid.mp3,5VXtBT4iERn7fJWDf5d6Vm,negative,-0.0449,neutral,0.7993,negative,427.0,0.5199,135.0,119.0,20.0
bật nhạc lên - hieuthuhai.mp3,0hiQvlWSSTr7n1kc1X2Lus,negative,-0.0534,positive,0.941,negative,644.0,0.3556,214.0,227.0,15.0
bắc thang lên hỏi ông trời - em xinh say hi.mp3,15yepdrwowzdn68banp7r4,negative,-0.0171,positive,0.8948,negative,331.0,0.5196,118.0,124.0,19.0
bắt con bướm vàng - danhka.mp3,1UlLetlR4rH6zU3azbU55V,negative,-0.1125,negative,0.817,negative,371.0,0.3369,141.0,119.0,14.0
bắt cóc con tim - lou hoàng.mp3,3ho1OQb9SFtCt3MIiRZ8Si,positive,0.0237,positive,0.989,positive,398.0,0.3467,133.0,118.0,12.0
