title,artists,featured_artists,release_date,genres,spotify_popularity,total_platforms,score_platform,A_total_appearances,Z_total_appearances,N_total_appearances,S_total_appearances,total_appearances,score_sustain,Z_best_rank,S_best_rank,N_best_rank,A_best_rank,score_rank,S_total_streams,Z_total_plays,score_historical,total_score,is-hit,hit_type
cứ đổ tại cơn mưa,em xinh say hi,"phương ly, orange, châu bùi, 52hz, vũ thảo my",2025-08-11,v-pop,59,2,0,,15,3,,18,0,17,,48,,2,,3500000,3,5,1,Legacy Hit (Saved)
em không cần,hannie,,2025-10-16,"v-pop, vinahouse",57,2,0,,4,9,,13,0,3,,16,,5,,396000,0,5,1,New Hit (Saved)
giờ thì,buitruonglinh,,2024-12-12,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",65,2,0,,,9,10,19,0,,31,27,,2,18306027,,3,5,1,Legacy Hit (Saved)
lý do nào để quay lại với nhau,par sg,new$oulz,2022-05-20,"vietnamese lo-fi, vietnamese hip hop, v-pop, vietnam indie",66,1,0,,,,10,10,0,,14,,,2,11709797,,3,5,1,Legacy Hit (Saved)
một đời,14 casper,"bon nghiêm, buitruonglinh",2023-03-03,"v-pop, vietnamese lo-fi, vietnam indie",62,2,0,,,9,14,23,0,,12,43,,2,31538476,,3,5,1,Legacy Hit (Saved)
hoa bất tử,thành đạt,,2025-04-18,"vinahouse, v-pop",38,1,0,,17,,,17,0,20,,,,2,,18100000,3,5,0,Non-Hit
hermosa,anh trai say hi,"sơn.k, buitruonglinh, tez, mason nguyen, congb",2025-09-29,"v-pop, vietnamese hip hop",60,2,0,,1,9,,10,0,47,,20,,2,,1200000,3,5,1,Legacy Hit (Saved)
nỗi đau giữa hòa bình,hòa minzy,nguyễn văn chung,2025-08-22,"v-pop, vinahouse",55,1,0,,17,,,17,0,13,,,,2,,6800000,3,5,1,Legacy Hit (Saved)
hóa giải bằng nước mắt,cao thái sơn,lê chí trung,2024-10-25,"v-pop, vinahouse, vietnamese bolero",36,1,0,,17,,,17,0,16,,,,2,,24700000,3,5,0,Non-Hit
vạn vật như muốn ta bên nhau,rio,,2025-04-10,"v-pop, vietnam indie, vietnamese hip hop",67,1,0,,,,14,14,0,,16,,,2,15381953,,3,5,1,Legacy Hit (Saved)
say một đời vì em,nguyên vũ,,2025-09-26,"v-pop, vinahouse",32,1,0,,17,,,17,0,13,,,,2,,1900000,3,5,0,Non-Hit
vừa lòng nhau chưa,thành đạt,"dickson, lê chí trung",2025-08-06,"vinahouse, v-pop",21,1,0,,15,,,15,0,17,,,,2,,2700000,3,5,0,Non-Hit
bầu trời mới,da lab,minh tốc & lam,2024-10-05,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",63,1,0,,,,6,6,0,,39,,,1,28907684,,3,4,1,Legacy Hit (Saved)
anh thua người ta nhiều lắm,nb3 hoài bảo,ct,2025-08-17,"vinahouse, vietnamese lo-fi, v-pop, lo-fi",28,1,0,,2,,,2,0,40,,,,1,,1600000,3,4,0,Non-Hit
chịu cách mình nói thua,rhyder,"coolkid, ban",2023-11-22,"v-pop, vietnamese hip hop",64,1,0,,,,2,2,0,,33,,,1,51359776,,3,4,1,Legacy Hit (Saved)
nhắn nhủ,ronboogz,,2023-12-12,"v-pop, vietnamese hip hop, vietnam indie",64,1,0,,,,4,4,0,,33,,,1,36902652,,3,4,1,Legacy Hit (Saved)
nếu ngày ấy,soobin,,2019-07-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",63,1,0,,,,13,13,0,,25,,,1,10375865,,3,4,1,Legacy Hit (Saved)
em đau,phùng khánh linh,thành luke,2025-10-18,"v-pop, vietnam indie",55,2,0,11,1,,,12,0,40,,,7,4,,316000,0,4,1,New Hit (Saved)
một bài hát không vui mấy - extended version,t.r.i,"dangrangto, donal",2024-12-24,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",65,1,0,,,,13,13,0,,29,,,1,16502485,,3,4,1,Legacy Hit (Saved)
muốn cua anh làm bồ,dương ái vy,htm,2025-07-08,"vinahouse, v-pop, vietnamese hip hop",41,1,0,,17,,,17,0,23,,,,1,,7200000,3,4,0,Non-Hit
có mình và ta,nguyễn vĩ,,2025-09-16,"vinahouse, vietnamese lo-fi, v-pop",40,1,0,,5,,,5,0,36,,,,1,,1000000,3,4,0,Non-Hit
sự ưu tiên của em,lê gia bảo,,2025-03-27,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",41,1,0,,17,,,17,0,28,,,,1,,16000000,3,4,0,Non-Hit
thằng điên,justatee,phương ly,2022-07-11,"v-pop, vietnamese hip hop, vietnam indie",63,1,0,,,,5,5,0,,40,,,1,34868366,,3,4,1,Legacy Hit (Saved)
tháng năm,soobin,,2020-12-15,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",65,2,0,11,,,1,12,0,,45,,23,1,20043593,,3,4,1,Legacy Hit (Saved)
vì anh đâu có biết,madihu,vũ.,2022-08-04,"v-pop, vietnam indie, vietnamese hip hop",64,1,0,,,,12,12,0,,22,,,1,57754771,,3,4,1,Legacy Hit (Saved)
2am,justatee,bigdaddy,2022-05-10,"v-pop, vietnamese hip hop",64,1,0,,,,3,3,0,,39,,,1,35568758,,3,4,1,Legacy Hit (Saved)
sinh ra đã là thứ đối lập nhau,emcee l,"da lab, badbies",2020-12-29,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",65,1,0,,,,7,7,0,,28,,,1,52672401,,3,4,1,Legacy Hit (Saved)
sau cơn mưa,coolkid,rhyder,2023-07-28,"v-pop, vietnamese hip hop",64,1,0,,,,2,2,0,,36,,,1,51236484,,3,4,1,Legacy Hit (Saved)
chẳng thể cảm hóa,lương quý tuấn,an clock,2025-05-14,"vinahouse, v-pop",43,1,0,,17,,,17,0,37,,,,1,,5900000,3,4,0,Non-Hit
trái tim không có tội,châu khải phong,,2025-09-10,"vinahouse, v-pop, vietnamese lo-fi, vietnamese bolero",27,1,0,,16,,,16,0,26,,,,1,,1800000,3,4,0,Non-Hit
buông đôi tay nhau ra,sơn tùng m-tp,,2017-04-01,"v-pop, vinahouse, vietnamese hip hop",67,2,0,,,9,14,23,0,,25,45,,1,25009673,,3,4,1,Legacy Hit (Saved)
thiệp hồng sai tên,nguyễn thành đạt,,2025-10-30,none,27,2,0,,17,2,,19,0,3,,32,,4,,789000,0,4,0,Non-Hit
vaicaunoicokhiennguoithaydoi,grey d,tlinh,2022-06-20,"v-pop, vietnam indie, vietnamese hip hop",65,2,0,8,,,10,18,0,,30,,44,1,58543786,,3,4,1,Legacy Hit (Saved)
hà nội,obito,"shiki, vstra",2023-10-10,"v-pop, vietnamese hip hop, vietnam indie",64,2,0,11,,,1,12,0,,50,,27,1,22666525,,3,4,1,Legacy Hit (Saved)
ếch ngoài đáy giếng,em xinh say hi,phương mỹ chi,2025-08-18,v-pop,53,1,0,,7,,,7,0,23,,,,1,,4400000,3,4,1,Legacy Hit (Saved)
nói dối,ronboogz,,2022-12-12,"v-pop, vietnamese hip hop, vietnam indie",66,1,0,,,,14,14,0,,22,,,1,28737338,,3,4,1,Legacy Hit (Saved)
id 072019,w/n,,2023-07-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",64,1,0,,,,6,6,0,,39,,,1,45421017,,3,4,1,Legacy Hit (Saved)
love is,dangrangto,,2023-06-27,"vietnamese hip hop, v-pop",64,1,0,,,,12,12,0,,29,,,1,24067950,,3,4,1,Legacy Hit (Saved)
mảnh tình sai đôi,quang hà,,2025-08-18,"vinahouse, v-pop, vietnamese bolero",36,1,0,,15,,,15,0,38,,,,1,,1600000,3,4,0,Non-Hit
tràn bộ nhớ,dương domic,,2024-11-22,"v-pop, vietnamese hip hop",64,1,0,,,,5,5,0,,35,,,1,23096835,,3,4,1,Legacy Hit (Saved)
thức giấc,da lab,,2021-07-14,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",64,1,0,,,,5,5,0,,39,,,1,44290253,,3,4,1,Legacy Hit (Saved)
lệ ngang trời,hồ nhi,a tuân,2025-06-27,none,28,1,0,,17,,,17,0,26,,,,1,,4600000,3,4,0,Non-Hit
đa nghi,anh trai say hi,"negav, hải nam, codynamvo, dillan hoàng phan",2025-10-13,"v-pop, vietnamese hip hop",62,2,0,,16,9,,25,0,18,,15,,4,,923000,0,4,1,New Hit (Saved)
cưới chính,nal,ct,2025-09-30,"vinahouse, vietnamese bolero, bolero, v-pop",41,1,0,,17,,,17,0,29,,,,1,,1200000,3,4,0,Non-Hit
có em,madihu,low g,2022-04-22,"v-pop, vietnam indie, vietnamese hip hop",65,1,0,,,,9,9,0,,26,,,1,42675409,,3,4,1,Legacy Hit (Saved)
có đôi điều,shiki,,2024-06-27,"vietnamese hip hop, v-pop, vietnam indie",65,2,0,9,,,9,18,0,,42,,33,1,21048734,,3,4,1,Legacy Hit (Saved)
10 ngàn năm,pc,,2019-12-21,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",64,1,0,,,,6,6,0,,43,,,0,33022520,,3,3,1,Legacy Hit (Saved)
xin lỗi vì đã xuất hiện,thanh hưng,,2025-10-19,"v-pop, vinahouse",43,1,0,,17,,,17,0,9,,,,3,,483000,0,3,0,Non-Hit
1000 ánh mắt,shiki,obito,2024-06-27,"vietnamese hip hop, v-pop, vietnam indie",64,1,0,,,,1,1,0,,50,,,0,23988523,,3,3,1,Legacy Hit (Saved)
thật không giống ai (from thà cô đơn),vicky nhung,,2025-11-05,"vinahouse, v-pop, vietnamese lo-fi",25,1,0,,8,,,8,0,1,,,,3,,68000,0,3,0,Non-Hit
không yêu em thì yêu ai?,vũ.,low g,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",64,1,0,,,,4,4,0,,47,,,0,21947972,,3,3,1,Legacy Hit (Saved)
love game,low g,tlinh,2025-09-11,"vietnamese hip hop, v-pop, vietnam indie",63,2,0,11,,9,,20,0,,,33,19,3,,,0,3,1,New Hit (Saved)
là ai có tội,lê gia bảo,t.a.p entertainment (producer t.a),2025-11-12,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",0,1,0,,1,,,1,0,1,,,,3,,,0,3,0,Non-Hit
quá muộn,min,,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",57,1,0,11,,,,11,0,,,,6,3,,,0,3,1,New Hit (Saved)
đừng bất công với em mà,inso,viam,2025-07-11,"vinahouse, v-pop",28,1,0,,4,,,4,0,44,,,,0,,2500000,3,3,0,Non-Hit
panorama,richie d. icy,obito,2025-10-10,"vietnamese hip hop, v-pop",62,2,0,11,,9,,20,0,,,12,27,3,,,0,3,1,New Hit (Saved)
đớn đau vô cùng,datkaa,,2025-11-08,"v-pop, vinahouse, vietnamese lo-fi, vietnamese hip hop",16,1,0,,4,,,4,0,4,,,,3,,187000,0,3,0,Non-Hit
mỹ vị cuộc đời,trung quân,,2025-11-04,"v-pop, vietnam indie",35,1,0,,17,,,17,0,3,,,,3,,326000,0,3,0,Non-Hit
bắt con bướm vàng,danhka,,2025-08-05,"vinahouse, v-pop",37,1,0,,11,,,11,0,42,,,,0,,1800000,3,3,0,Non-Hit
cạn dòng ướt mi,dee trần,,2025-11-01,"v-pop, vinahouse",5,1,0,,7,,,7,0,7,,,,3,,59000,0,3,0,Non-Hit
ánh trăng giả dối,quốc thiên,,2025-11-11,"v-pop, vietnamese bolero",6,1,0,,1,,,1,0,7,,,,3,,,0,3,0,Non-Hit
Cảm Ơn,Will,Minh Tốc & Lam,2025-11-14,"v-pop, vietnam indie, vietnamese lo-fi",0,1,0,,1,,,1,0,8,,,,3,,,0,3,0,Non-Hit
chằn tinh,lyhan,,2025-11-11,v-pop,32,1,0,,1,,,1,0,7,,,,3,,24000,0,3,0,Non-Hit
chế độ im lặng,min,,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",56,1,0,11,,,,11,0,,,,7,3,,,0,3,1,New Hit (Saved)
canh bạc hôn nhân,lala trần,nguyễn hồng thuận,2025-10-28,"vinahouse, v-pop",29,1,0,,17,,,17,0,5,,,,3,,594000,0,3,0,Non-Hit
hơn là bạn,anh trai say hi,"ngô kiến huy, vũ cát tường, karik, vương bình, sơn.k, min",2025-11-03,"v-pop, vietnamese hip hop",52,2,0,,9,6,,15,0,28,,13,,3,,314000,0,3,1,New Hit (Saved)
bước qua mùa cô đơn,vũ.,,2022-09-09,"v-pop, vietnam indie, vietnamese lo-fi",63,1,0,,,,2,2,0,,42,,,0,37316826,,3,3,1,Legacy Hit (Saved)
hiện thực phũ phàng,phùng khánh linh,,2025-10-18,"v-pop, vietnam indie",56,1,0,11,,,,11,0,,,,10,3,,,0,3,1,New Hit (Saved)
kho báu (rock ver.),(s)trong,,2025-11-06,"v-pop, vietnam indie",30,1,0,,1,,,1,0,6,,,,3,,,0,3,0,Non-Hit
tự dưng thành người lạ,quốc thiên,,2025-10-29,"v-pop, vietnamese bolero",26,1,0,,17,,,17,0,7,,,,3,,880000,0,3,0,Non-Hit
vòng xoay của ba chúng ta,thành đạt,,2025-09-26,"vinahouse, v-pop",19,1,0,,7,,,7,0,15,,,,2,,243000,0,2,0,Non-Hit
ám ảnh về anh,phùng khánh linh,,2025-10-18,"v-pop, vietnam indie",53,2,0,2,1,,,3,0,30,,,35,2,,,0,2,1,New Hit (Saved)
vùng an toàn,b ray,v#,2025-07-08,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",63,1,0,11,,,,11,0,,,,12,2,,,0,2,1,New Hit (Saved)
đại dương,pháp kiều,,2025-11-12,"v-pop, vietnamese hip hop",0,1,0,,1,,,1,0,17,,,,2,,,0,2,0,Non-Hit
nắng dưới chân mây,nguyễn hữu kha,,2025-06-18,"vinahouse, v-pop",54,1,0,,,9,,9,0,,,16,,2,,,0,2,1,New Hit (Saved)
đừng làm trái tim anh đau,sơn tùng m-tp,,2024-06-08,"v-pop, vinahouse, vietnamese hip hop",65,1,0,11,,,,11,0,,,,15,2,,,0,2,1,New Hit (Saved)
phải viết bao nhiêu bản tình ca,min,,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",55,1,0,11,,,,11,0,,,,11,2,,,0,2,1,New Hit (Saved)
có em là nhà,min,,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",55,1,0,11,,,,11,0,,,,11,2,,,0,2,1,New Hit (Saved)
phong sương tửu (ca si thiên đình),thiên đình,,2025-10-22,"vinahouse, v-pop",29,1,0,,15,,,15,0,15,,,,2,,515000,0,2,0,Non-Hit
polite,sonaone,tlinh,2025-11-04,"malay rap, malay, malay pop, malaysian pop",48,1,0,,4,,,4,0,18,,,,2,,,0,2,0,Non-Hit
cờ người,phùng khánh linh,,2025-10-18,"v-pop, vietnam indie",56,1,0,11,,,,11,0,,,,12,2,,,0,2,1,New Hit (Saved)
lưới tình,j.ade,,2025-10-30,"v-pop, vietnam indie",28,1,0,,8,,,8,0,14,,,,2,,93000,0,2,0,Non-Hit
kết thúc và chia tay,nguyễn kiều oanh,,2025-10-21,v-pop,34,1,0,,7,,,7,0,14,,,,2,,89000,0,2,0,Non-Hit
make up,anh trai say hi,"dillan hoàng phan, buitruonglinh, đỗ nam sơn, lohan, ryn lee, bảo thy",2025-11-03,"v-pop, vietnamese hip hop",48,2,0,,9,3,,12,0,36,,36,,2,,122000,0,2,0,Non-Hit
linh cảm,phùng khánh linh,,2025-10-18,"v-pop, vietnam indie",55,1,0,5,,,,5,0,,,,20,2,,,0,2,1,New Hit (Saved)
loser,min,chillies,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",54,1,0,11,,,,11,0,,,,16,2,,,0,2,1,New Hit (Saved)
ước anh tan nát con tim,phùng khánh linh,,2025-10-18,"v-pop, vietnam indie",54,1,0,11,,,,11,0,,,,14,2,,,0,2,1,New Hit (Saved)
tiếc cho em,rhyder,,2025-10-16,"v-pop, vietnamese hip hop",66,2,0,,2,,13,15,0,21,26,,,2,1638097,601000,0,2,1,New Hit (Saved)
vết thương,fishy,,2023-06-29,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",66,1,0,,,,14,14,0,,13,,,2,9732968,,0,2,1,New Hit (Saved)
anh nhớ ra,vũ.,trang,2022-09-09,"v-pop, vietnam indie, vietnamese lo-fi",59,1,0,11,,,,11,0,,,,20,2,,,0,2,1,New Hit (Saved)
ảo ảnh,anh trai say hi,"vũ cát tường, gill, ryn lee",2025-10-20,"v-pop, vietnamese hip hop",55,2,0,,3,4,,7,0,44,,22,,1,,363000,0,1,1,New Hit (Saved)
anh vui,phạm kỳ,,2023-03-10,"vinahouse, v-pop, vietnamese lo-fi",57,1,0,,,9,,9,0,,,33,,1,,,0,1,1,New Hit (Saved)
bóng tối yêu đời,lyhan,,2025-11-11,v-pop,27,1,0,,1,,,1,0,35,,,,1,,,0,1,0,Non-Hit
hoa đỗ quyên,khả hiệp,,2025-09-22,"vinahouse, v-pop, vietnamese lo-fi",13,1,0,,4,,,4,0,38,,,,1,,106000,0,1,0,Non-Hit
gã săn cá,em xinh say hi,"lâm bảo ngọc, quỳnh anh shyn, maiquinn, saabirose, quang hùng masterd",2025-06-30,v-pop,61,1,0,,,9,,9,0,,,34,,1,,,0,1,1,New Hit (Saved)
hãy trao cho anh,sơn tùng m-tp,snoop dogg,2019-07-02,"v-pop, vinahouse, vietnamese hip hop",55,1,0,,,9,,9,0,,,34,,1,,,0,1,1,New Hit (Saved)
vật đổi sao dời,lyhan,,2025-11-11,v-pop,27,1,0,,1,,,1,0,38,,,,1,,,0,1,0,Non-Hit
"tinhvuvo, tinhnhungnho",Đậu Tất Đạt,"Chi Xê, KAS",2025-11-13,"v-pop, vietnamese hip hop, vietnam indie",11,1,0,,1,,,1,0,33,,,,1,,,0,1,0,Non-Hit
những lời hứa bỏ quên,vũ.,dear jane,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",58,1,0,,,9,,9,0,,,31,,1,,,0,1,1,New Hit (Saved)
nolovenolife,hieuthuhai,,2023-10-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",61,1,0,11,,,,11,0,,,,40,1,,,0,1,1,New Hit (Saved)
chim hót bên trong lâu đài,lyhan,,2025-11-11,v-pop,29,1,0,,1,,,1,0,32,,,,1,,,0,1,0,Non-Hit
điều em khó nói,min,,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",53,1,0,2,,,,2,0,,,,33,1,,,0,1,1,New Hit (Saved)
đừng đóng vai nạn nhân,wendy thảo,v2t media,2025-10-03,"v-pop, vinahouse",31,1,0,,16,,,16,0,36,,,,1,,700000,0,1,0,Non-Hit
đừng yêu một người như,du uyên,,2025-10-29,"v-pop, vinahouse, vietnamese hip hop",10,1,0,,2,,,2,0,31,,,,1,,190000,0,1,0,Non-Hit
ngày này năm ấy (metal rock),việt anh,,2025-10-19,"vinahouse, v-pop",48,1,0,,,9,,9,0,,,27,,1,,,0,1,0,Non-Hit
e là không thể,anh quân,,2024-11-29,"vinahouse, vietnamese lo-fi, v-pop",61,1,0,,,9,,9,0,,,21,,1,,,0,1,1,New Hit (Saved)
người yêu chưa sinh ra,anh trai say hi,"ogenus, bigdaddy, phúc du, hustlang robber, dillan hoàng phan",2025-09-29,"v-pop, vietnamese hip hop",60,1,0,,,9,,9,0,,,32,,1,,,0,1,1,New Hit (Saved)
