title,artists,featured_artists,album_type,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,main_artist_id,is_hit,file_name,Audio_Error,Lyrics_Error
(thu).,thaison!,"Mer, Vantacrow",single,22.0,2023-12-10,"vietnam indie, v-pop",6lmphfnWmsyxVxG5wh9pag,1VQyG9aks9QYQYzwmP12Fz,0.0,(thu). - thaison!.mp3,OK,OK
(tôi) ĐI TRÚ ĐÔNG,Ngọt,,album,36.0,2019-06-10,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",2kALQoFlKxSaerOCFB1vdm,0V2DfUrZvBuUReS1LFo5ZI,1.0,(tôi) đi trú đông - ngọt.mp3,OK,OK
"(từng là) Boyfriend, Girlfriend",MIN,,album,48.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",7B2UpgEZe68OdfKzBb8JZq,0IdAjS2LRieBR3gzoazdAw,1.0,"(từng là) boyfriend, girlfriend - min.mp3",OK,OK
+ 1 Vết Xước,Charmy Pham,Tuimi,album,22.0,2025-12-01,"v-pop, vinahouse",5L5Pfsnzn49cjNZvzi3FNq,6jFvKq4gMkQ50joURHPGXO,0.0,+ 1 vết xước - charmy pham.mp3,OK,OK
+1 ngày bên em,Trungg I.U,Rum,single,20.0,2024-03-15,"v-pop, vinahouse, vietnam indie",0oQW0vIRkcL8gunHPGyIJL,6Ue0BbbTOdBjcO4QZB5sio,0.0,+1 ngày bên em - trungg i.u.mp3,OK,OK
0 AI NGHĨ,Wxrdie,,single,60.0,2023-03-16,"vietnamese hip hop, v-pop",2kt7udEZmN2kj1Jsl118zY,1Jmkhzve9TuXHUUWGmpANw,1.0,0 ai nghĩ - wxrdie.mp3,OK,OK
0 Phải Hôm Nay,QNT,HuyR,single,26.0,2023-01-19,"v-pop, vietnam indie, vietnamese hip hop",0BgB8R5PF4niOC6Pd2tJ5e,4LuFOXq87Tg0JSl5U7yxFZ,0.0,0 phải hôm nay - qnt.mp3,OK,OK
00,RPT MCK,,album,37.0,2023-03-02,"vietnamese hip hop, v-pop, vietnam indie",3xlhYIhZ7heAvohmw3uyfd,1zSv9qZANOWB4HRE8sxeTL,0.0,00 - rpt mck.mp3,OK,OK
01 Chuyện Dở Dang,Ngọt,,single,47.0,2024-02-23,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",3vWCRttEOSRmXZs8jfAPSX,0V2DfUrZvBuUReS1LFo5ZI,1.0,01 chuyện dở dang - ngọt.mp3,OK,OK
01 Ngoại Lệ,Jack - J97,,single,52.0,2025-05-03,"v-pop, vinahouse, vietnamese lo-fi",1EqPUY3R6WoMSog6Y0pmm6,3KJopZ2uUclqEtLxQg0FNn,1.0,01 ngoại lệ - jack - j97.mp3,OK,OK
02 Mơ Làm Ma,Ngọt,Thỏ Trauma,single,45.0,2024-02-23,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",7Ebm9NxzNhUX2FxzBl1kwm,0V2DfUrZvBuUReS1LFo5ZI,1.0,02 mơ làm ma - ngọt.mp3,OK,OK
021,Binz,,single,18.0,2020-10-04,"vietnamese hip hop, v-pop, vietnam indie, vinahouse",2Di5jJ8J7RrK4k43my50hb,2nSO7JYDbJrYbJmP39qUzj,0.0,021 - binz.mp3,OK,OK
03 Hay Là,Ngọt,,single,45.0,2024-02-23,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",6yLbighkE0kn1OH9zd4aBi,0V2DfUrZvBuUReS1LFo5ZI,1.0,03 hay là - ngọt.mp3,OK,OK
03:01,Datmaniac,,single,19.0,2021-08-28,"vietnamese hip hop, vietnam indie, v-pop",1JbNoqiOUmk7MDrOiaQT58,56su1iNcOlGUPEtBoOoJ5D,0.0,0301 - datmaniac.mp3,OK,OK
04 Thắp Hương 05 Hoá Vàng,Ngọt,Quyền Thiện Đắc,single,42.0,2024-02-23,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",6e7oHe23DEca4sEOgu5bPd,0V2DfUrZvBuUReS1LFo5ZI,1.0,04 thắp hương 05 hoá vàng - ngọt.mp3,OK,OK
05 (Không Phai),Tăng Duy Tân,T.R.I,single,12.0,2020-05-20,"v-pop, vinahouse, vietnamese lo-fi",7fPQSZGLa9iwautAOUsdgW,1n9JKdEdLxrbgJiqz1WZFJ,0.0,05 (không phai) - tăng duy tân.mp3,OK,OK
052 (Không Phai 2),Tăng Duy Tân,,single,8.0,2020-05-12,"v-pop, vinahouse, vietnamese lo-fi",3kU3qhxTiatd67QBfisZea,1n9JKdEdLxrbgJiqz1WZFJ,0.0,052 (không phai 2) - tăng duy tân.mp3,OK,OK
06 Quen Lắm,Ngọt,,single,42.0,2024-08-30,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",24YjMHwrN1di1vXrpj4z3C,0V2DfUrZvBuUReS1LFo5ZI,1.0,06 quen lắm - ngọt.mp3,OK,OK
07 Leo Đèo,Ngọt,,single,26.0,2024-08-30,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",1oTgxAlDRyPpwDD2tAx4VG,0V2DfUrZvBuUReS1LFo5ZI,0.0,07 leo đèo - ngọt.mp3,OK,OK
08 Chuyện Thường,Ngọt,,single,30.0,2024-08-30,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",7DEbWAdVM5ecK7JyMtcaAr,0V2DfUrZvBuUReS1LFo5ZI,0.0,08 chuyện thường - ngọt.mp3,OK,OK
09 Chiều Hồ Tây,Ngọt,,single,24.0,2024-08-30,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",2BLPAVyQCHoDo3FGqrZnx7,0V2DfUrZvBuUReS1LFo5ZI,0.0,09 chiều hồ tây - ngọt.mp3,OK,OK
0RUABAT,Willistic,"VCC Left Hand, XOLITXO",album,20.0,2025-06-19,"vietnamese hip hop, v-pop, vietnam indie",264e6WHrILu4KGRF0I8ooP,0XEYiIh3AzMl9lBaT3gNz7,0.0,0ruabat - willistic.mp3,OK,OK
1 2 3 4 tí tách (cry cry),Phùng Khánh Linh,,album,36.0,2022-11-11,"v-pop, vietnam indie",1e6MntxKMAQhnBnEyLG8gI,23Gbd21nBxC1kCtcG2Cd0C,1.0,1 2 3 4 tí tách (cry cry) - phùng khánh linh.mp3,OK,OK
1 Ai Kế Bên,MYLINA,4GOD,single,29.0,2025-09-24,"v-pop, vietnam indie",2eCee1ruOr1YihdW2bdNGN,4yx3BsXxY9l6BRyStNIB8y,0.0,1 ai kế bên - mylina.mp3,OK,OK
1 Cây Vàng,24k.Right,Hipz,single,40.0,2024-08-16,"vietnamese hip hop, v-pop",39aU80CGvA9asmCwulVuwp,0hUr8xEtATxbq2OTiJFAP0,0.0,1 cây vàng - 24k.right.mp3,OK,OK
1 Cọng Tóc Mai,Tóc Tiên,Touliver,single,12.0,2022-06-30,"v-pop, vietnam indie",5i17rzCuZfYVzoP441PXGu,4YkqEuVf1Jf2x2XDqJ2CvC,0.0,1 cọng tóc mai - tóc tiên.mp3,OK,OK
1 Lần,(S)TRONG,,single,16.0,2021-03-01,"v-pop, vietnam indie",1B3xeuTyKx9PFQGGwTzyA7,7571XEqHqL61NDiLtWXhS5,0.0,1 lần - (s)trong.mp3,OK,OK
1 Phút,Andiez,,single,57.0,2017-08-07,"v-pop, vietnam indie, vietnamese lo-fi",79bSb2Ilugozn6VygdplEZ,0tBmmwc8j8zbJxISwdsvjA,1.0,1 phút - andiez.mp3,OK,OK
1 Vòng,Tùng TeA,"TaynguyenSound, PC",single,30.0,2022-06-02,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",6lpC9ouPRC5zyRTn8xNsn2,2SWNzbf1maA3oR4x56Uv9W,1.0,1 vòng - tùng tea.mp3,OK,OK
1 lời xin lỗi,Hào,,single,14.0,2025-01-08,"vietnam indie, v-pop, vietnamese lo-fi",5h5sKmDxEKlPtqZDQQtCn5,41o2x1AJ6KzUiz6JxYtCtJ,0.0,1 lời xin lỗi - hào.mp3,OK,OK
1 mũi tên trúng 2 con tim,MiiNa,"RIN9, DREAMeR",album,8.0,2025-04-14,v-pop,0kcbXWB5jS9b1KSinLWYp1,76nos2JmvLyYGZ28ribrf7,0.0,1 mũi tên trúng 2 con tim - miina.mp3,OK,OK
1 tháng nhung nhớ,Pay,Lazii,album,17.0,2024-08-09,"vietnam indie, v-pop",0FIforzJ2YZx2finC1kJFu,0LzKYyu8mwHXfMih4lnMXY,0.0,1 tháng nhung nhớ - pay.mp3,OK,OK
1 được 2,Đạt G,,single,16.0,2025-07-13,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3D4wiBNEJWZhdmVWaV1hSW,4R3mugkUqCALXgkwSptTbg,0.0,1 được 2 - đạt g.mp3,OK,OK
1 đổi 1,2T,Ngọc Yến,single,10.0,2023-06-06,"vietnamese lo-fi, v-pop, vietnamese hip hop, vietnam indie",6eF0Rwotc2si9psQrV9n8W,5a9t9Ace3c3WLhwlYXsTGH,0.0,1 đổi 1 - 2t.mp3,OK,OK
1% (feat. Phúc Nguyên),Show It All Vietnam (Tân Binh Toàn Năng),Phúc Nguyên,single,47.0,2026-01-03,v-pop,5bU2BptxMCGcO5xFQxErBy,4SiNg3BrvdFycwTlO6HGKN,1.0,1% (feat. phúc nguyên) - show it all vietnam (tân binh toàn năng).mp3,OK,OK
1-800-LOVE,MANBO,"HIEUTHUHAI, HURRYKNG",single,45.0,2020-07-25,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",7K1yMkQqA9ZxHfa2y4XsY6,2rKtPYcwYmevNcaqzJOwvf,1.0,1-800-love - manbo.mp3,OK,OK
1.Bản Nhạc Buồn,B Ray,,single,43.0,2021-11-29,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",7hKpFrGcYqnzNiwxN0tt3V,1WvNgEoB66jmHodcj15Zi9,1.0,1.bản nhạc buồn - b ray.mp3,OK,OK
1/2,Lee À,"Dangrangto, BIG WIND",single,56.0,2023-10-08,"v-pop, vietnamese hip hop",7cSGNw7yAauscxAkPrOCts,5CsUP7oVIX0RTxnxbiI3tf,1.0,12 - lee à.mp3,OK,OK
10 Mất 1 Còn Không,BMZ,Nguyễn Thạc Bảo Ngọc,single,14.0,2025-08-16,"v-pop, vinahouse, vietnam indie, vietnamese lo-fi",5BITDvDS9PVbHZFysKeyEK,3euFcFd5Dc7JAz6t7oKg7m,0.0,10 mất 1 còn không - bmz.mp3,OK,OK
10 Mất 1 Còn Không,Lê Gia Bảo,BMZ,single,48.0,2025-05-08,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",4NksYk8JJnriSPy5eVj5MW,5li8A5IiLMLhqGNpd7putm,1.0,10 mất 1 còn không - lê gia bảo.mp3,OK,OK
10 Ngàn Năm,PC,,single,63.0,2019-12-21,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",2pm7K14nHj2fLrpU8j9bit,3HD3V1nGFPwepBO7064Ij0,1.0,10 ngàn năm - pc.mp3,OK,OK
10 Năm Nữa,Freaky,"Chúc Hỷ, Pinny, shi",album,16.0,2025-08-28,"v-pop, vietnamese hip hop, vinahouse, vietnamese lo-fi",5Szrf4AIJCBWVRoKs6lry7,3JlzPlR5FYYa402qPCCaAm,0.0,10 năm nữa - freaky.mp3,OK,OK
"10/10 (feat. Phạm Đình Thái Ngân, Anh Tú Atus, Quang Trung & Hùng Huỳnh)","ANH TRAI ""SAY HI""","Pham Dinh Thai Ngan, Anh Tú Atus, Quang Trung, Hùng Huỳnh",album,39.0,2024-08-06,"v-pop, vietnamese hip hop",0957NnFGigNAVOF8Am2Whl,4wZ6awunqaaVLl5j0WpDFu,0.0,"10_10 (feat. phạm đình thái ngân, anh tú atus, quang trung & hùng huỳnh) - anh trai say hi - pham dinh thai ngan, anh tú atus, quang trung, hùng huỳnh.mp3",OK,OK
100 < 1,VƯƠNG BÌNH,,album,40.0,2024-11-04,"v-pop, vietnam indie",6kwUpCpzod4ZV5FT02SjYU,351mBX7BjjI2plbfozIzqb,1.0,100  1 - vương bình.mp3,OK,OK
100 Cuộc Gọi Nhỡ,WOKEUP,"GREY D, VSTRA, Parys",album,48.0,2025-12-17,"vietnamese hip hop, v-pop",3Zm3g89lnqqfngm30WRW5w,0qAJ604EZMbkbpZ9NN6W6d,1.0,100 cuộc gọi nhỡ - wokeup.mp3,OK,OK
100 Questions (feat. B Ray),V#,B Ray,album,30.0,2017-10-20,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",6rjLEwE63g53eRO1DX6kqs,3XevJv2rTKu5WYtD0LW6om,1.0,100 questions (feat. b ray) - v#.mp3,OK,OK
1000 Năm,Nhâm Phương Nam,,single,13.0,2025-01-10,v-pop,2MlkcM0RcUto2D5yEFvKwL,4usb4zmoHVcrvPPHHkKYaV,0.0,1000 năm - nhâm phương nam.mp3,OK,OK
1000 Ánh Mắt,Shiki,Obito,single,64.0,2024-06-27,"vietnamese hip hop, v-pop, vietnam indie",5XfGQZA0ioQAWUjlyJRcHc,3hRnvEdu1iPyB6EzMBbuZq,1.0,1000 ánh mắt - shiki.mp3,OK,OK
10005,SIVAN,,single,33.0,2024-02-02,"v-pop, vietnam indie",0N1FzxCoBHNTZvA8ooUZsl,0wJWawRvX8K9joiK9QqkX5,0.0,10005 - sivan.mp3,OK,OK
1000KM,TRANG,,single,16.0,2018-09-19,"vietnam indie, v-pop, vietnamese lo-fi",1fldLUbpe2tF9Q29bSt31s,2knyDFP4xw9wZEWA98JX6b,0.0,1000km - trang.mp3,OK,OK
101520 (feat. Sol7 & prettyXIX),RAP VIỆT,"Sol7, prettyXIX",single,30.0,2021-12-22,"vietnamese hip hop, v-pop",2axlAOp86SPuqSBlwLw4WM,1cPpd989kghzlZqfpP4KwL,1.0,101520 (feat. sol7 & prettyxix) - rap việt.mp3,OK,OK
101Hz (mưa ngâu),Khải,,single,22.0,2025-07-12,"vietnamese lo-fi, v-pop, vietnam indie",6vM9WIRLpCvRNmy9Z0XVSr,2YJjdbWUlFUPMyveMVft5k,0.0,101hz (mưa ngâu) - khải.mp3,OK,OK
101Hz (mưa rào),Khải,Rtee,single,22.0,2025-07-21,v-pop,4cfQkmGvUypTmFwCiBo4dP,2YJjdbWUlFUPMyveMVft5k,0.0,101hz (mưa rào) - khải.mp3,OK,OK
10k năm,Lemese,"Changg, fueled by boba",single,9.0,2022-12-07,"v-pop, vietnam indie, vietnamese hip hop, vietnamese lo-fi",176iNjQ1SWH7JlYscCD6BH,0DL9VpY3UsZWQyDOO5Ej2o,0.0,10k năm - lemese.mp3,OK,OK
11,Mer,Hoan Le,single,27.0,2025-04-24,"vietnam indie, v-pop",2KMN6spt2Oqxz8CGjRgQs0,0s9oqVCJ2iXTqSUR5fcky5,0.0,11 - mer.mp3,OK,OK
11:11,MiiNa,"RIN9, DREAMeR",single,38.0,2023-02-22,v-pop,37kfF2bDr3O2qmOYNTgDMT,76nos2JmvLyYGZ28ribrf7,0.0,1111 - miina.mp3,OK,OK
11:11 (11 giờ 11 phút),MiiNa,"RIN9, Bảo Uyên, DREAMER",single,6.0,2023-03-11,v-pop,1BjVDyY23LpmoPYl7pCrC3,76nos2JmvLyYGZ28ribrf7,0.0,1111 (11 giờ 11 phút) - miina.mp3,OK,OK
11h Tối,HuyR,,single,11.0,2022-01-11,"v-pop, vietnam indie, vietnamese hip hop",4bkKKHJ3ZIicI1PpII2ZhQ,3B3UoHY8tKJ6zmyYZhkDSZ,0.0,11h tối - huyr.mp3,OK,OK
11h11,Thái Đinh,NamKun,single,16.0,2018-12-28,"vietnam indie, v-pop",64VT0ihWxfGAgeXX28Fq8e,7lq25uVNvzRoAJgr4CYr8e,0.0,11h11 - thái đinh.mp3,OK,OK
12 12 CỐ NHÊN,7dnight,2Hoang,single,16.0,2024-08-20,"vietnamese hip hop, v-pop",2UjGjbo2tGmdnK1wp8gmKb,3gucoX521KgXuoUnRbn0Bn,0.0,12 12 cố nhên - 7dnight.mp3,OK,MISSING
123 Ngôi Sao,Minh Đinh,Cheng,album,11.0,2025-05-16,"vietnam indie, v-pop, vietnamese hip hop",6gpxCkfzKZvYrbaoakZHpb,4NfuHLESitkh66LOZeyzsu,0.0,123 ngôi sao - minh đinh.mp3,OK,OK
12345,prettyXIX,"Mason Nguyen, SpideyBoy",single,31.0,2024-06-25,"vietnamese hip hop, v-pop, vietnam indie",3G6YhvSn3hzJrQQzV3lJpF,28XrDF0G35BpyybcGaQTzU,1.0,12345 - prettyxix.mp3,OK,OK
12345 (feat. JGKiD),GDucky,JGKiD (Da LAB),single,21.0,2023-12-07,"vietnamese hip hop, v-pop",0R2MTQjHh6lmOCiVgnHiFW,3T3DOlgOEkr243zdzFCrXW,0.0,12345 (feat. jgkid) - gducky.mp3,OK,OK
12H,Hà Anh Tuấn,,album,15.0,2021-12-24,"v-pop, vietnam indie",1XNdflt8d5h229USLrEUbT,3FwYnbtGNt8hJfjNuOfpeG,0.0,12h - hà anh tuấn.mp3,OK,OK
12H03,Cường Seven,(S)TRONG,album,30.0,2024-09-07,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5hP0ULtq488WiQHu8EjGF9,6uPQqRyJMiXn3lHCh0oJIt,1.0,12h03 - cường seven.mp3,OK,OK
14 Missed Calls,Kuun Đức Nam,CoolKid,single,37.0,2025-12-01,"v-pop, vietnam indie",4iHLh0lxMAM0zKz7Bvgta6,05xxXziuRhVsmlSjTD4Soh,1.0,14 missed calls - kuun đức nam.mp3,OK,OK
144,Wren Evans,itsnk,album,54.0,2026-01-05,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",5DrsJFu6xuC7ZwFgUKExq5,5M3ffmRiOX9Q8Y4jNeR5wu,1.0,144 - wren evans.mp3,OK,OK
145,Minh Tốc & Lam,,album,23.0,2023-12-13,"vietnam indie, v-pop",0Rs58GncmuZdKrppyozt4f,27RoKwun6jKycKbH2iYUFU,0.0,145 - minh tốc & lam.mp3,OK,OK
15,Tùng,,album,36.0,2025-04-10,"vietnam indie, v-pop",6IK06Ewhx14wVcooqX0gKI,1TdtsDVivxc6PpkQdNuXdR,0.0,15 - tùng.mp3,OK,OK
16,Obito,Shiki,album,45.0,2023-10-10,"vietnamese hip hop, v-pop, vietnam indie",3jwzesnDs0jY7KeDDxBua3,0ZbgKh0FgPYeFP38nVaEGp,1.0,16 - obito.mp3,OK,OK
168,Khải,,single,19.0,2020-12-05,"vietnamese lo-fi, v-pop, vietnam indie",5n4aDbzEUenWVFJeK7VAYd,2YJjdbWUlFUPMyveMVft5k,0.0,168 - khải.mp3,OK,OK
1811 Câu Hỏi Vì Sao,Minh Tốc & Lam,,album,26.0,2023-12-13,"vietnam indie, v-pop",3ycfT8wTsgnoXxqNnbWM4S,27RoKwun6jKycKbH2iYUFU,0.0,1811 câu hỏi vì sao - minh tốc & lam.mp3,OK,OK
1900 Hồi Đó.,Jun Phạm,,single,28.0,2022-11-17,v-pop,3tpfnaMz1u8fM6dBu8YQXj,5bJcxnt5lkrDyKfPjtSBxP,0.0,1900 hồi đó. - jun phạm.mp3,OK,OK
1TINHYEU (feat. Hustlang Robber),RAP VIỆT,Hustlang Robber,single,44.0,2024-12-03,"vietnamese hip hop, v-pop",3MlvHVRytWiXpSHEeZVF0I,1cPpd989kghzlZqfpP4KwL,1.0,1tinhyeu (feat. hustlang robber) - rap việt.mp3,OK,OK
2 4,W/N,,single,56.0,2024-07-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",6r5o9yIc16ZvymXUKJQ1yy,6NF9Oa4ThQWCj6mogFSrVD,1.0,2 4 - wn.mp3,OK,OK
2 5,Táo,,single,48.0,2021-01-24,"vietnamese hip hop, vietnamese lo-fi, vietnam indie, v-pop",4PfJ5TfA8niTcVbPGmkspN,23xCr75lKvnFvKi8ImHE7S,1.0,2 5 - táo.mp3,OK,OK
2 5,Young H,"Táo, Sol'bass, ChiuLinh",single,51.0,2015-05-29,"vietnamese hip hop, vietnamese lo-fi, vietnam indie, v-pop",6lx6unJJCy2a6Y8EqgTdvp,25GQsAhf1lcyEADSbUVv5d,1.0,2 5 - young h.mp3,OK,OK
2 Giờ Chiều,Isaac,"Lou Hoàng, Only C",single,11.0,2020-09-30,"v-pop, vietnamese hip hop",0fSy1B6IjJm1Njij3YesGH,40JnMfFlpwqBnWitkL96g4,0.0,2 giờ chiều - isaac.mp3,OK,OK
2 Ngày 1 Đêm,Da LAB,,single,35.0,2022-05-30,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",1ssTvfAzPytCG3M9Ou4daq,6zUWZmyi5MLOEynQ5wCI5f,1.0,2 ngày 1 đêm - da lab.mp3,OK,OK
2 Người Chia Tay 4 Người Hạnh Phúc,Hà Anh,"Sixkie Dawgz, ESKA",single,41.0,2024-10-21,v-pop,3JZTt8dh4BXSh0TRlB3K89,3JRVedtRD0Xyk5PtvH8ueE,1.0,2 người chia tay 4 người hạnh phúc - hà anh.mp3,OK,OK
2 Người Chia Tay 4 Người Hạnh Phúc,Sixkie Dawgz,"Eska, Layla",single,14.0,2025-11-27,v-pop,5RVuuyBZVnPXPug8lpeUxv,3gdsVSks0f5ifaXSBbSZEO,0.0,2 người chia tay 4 người hạnh phúc - sixkie dawgz.mp3,OK,OK
2 Người Đau 4 Người Hạnh Phúc,Vương Anh Tú,Thùy Chi,single,23.0,2024-12-12,"v-pop, vinahouse",1kibEgJBeA0euiLCiYMKNk,3OeYidiG0MAcGmiSwTHZf6,0.0,2 người đau 4 người hạnh phúc - vương anh tú.mp3,OK,OK
2 mặt,Pjpo,Lucky$outh,album,17.0,2025-06-28,"vietnamese hip hop, v-pop",0uT19HZmycY1utNeYimWRA,5kooMseQPNPTz5y1UCM5UR,0.0,2 mặt - pjpo.mp3,OK,OK
2+3=5,T.R.I,Cammie,single,37.0,2019-11-03,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",5LlOq9zNm5ErRgd4ri86aB,2rVYwIYNEsMxtt8j5yemHb,1.0,2+3=5 - t.r.i.mp3,OK,OK
20 25 30,Bảo Anh,Kai Đinh,single,26.0,2023-05-21,"v-pop, vietnam indie",5rLir4hyqMXTlBz0FnIjAf,4fCHhderLwLacsIOIKgu3J,0.0,20 25 30 - bảo anh.mp3,OK,OK
20 Minutes,Spuds,"Nimbia, Evelyn Feroza",single,21.0,2020-11-13,"v-pop, vietnam indie",3TIxxTLcUdtUbSvj3oNJIU,5lAYp2nF7qQU1kAUoE8bKV,0.0,20 minutes - spuds.mp3,OK,OK
20 Năm Ở Thế Giới,Thịnh Suy,,single,36.0,2020-10-18,"v-pop, vietnam indie, vietnamese lo-fi",2YuUhXNEfxrnTWQ7NGmO2u,2xK6qcvfXuFFbU0NL95aeo,1.0,20 năm ở thế giới - thịnh suy.mp3,OK,OK
20 Phút,Nimbia,"(S)TRONG, Spuds",single,12.0,2020-07-20,"v-pop, vietnam indie",6N9GzbUV7BMIL6luxnNfig,7571XEqHqL61NDiLtWXhS5,0.0,20 phút - (s)trong.mp3,OK,OK
2000 câu hỏi vì sao,AMEE,,single,44.0,2024-08-02,"v-pop, vietnamese hip hop, vietnam indie",3rxbssNItXaXyqc0wJUsYC,2aQnC3DbZB9GbauvhAw7ve,1.0,2000 câu hỏi vì sao - amee.mp3,OK,OK
200x2 (feat. Juun D),Vampera,JUUN D,single,22.0,2026-02-14,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",78URWObMIpPBvrQ7QmOMuQ,4ehqONCMuKnaxgKj8wme5k,0.0,200x2 (feat. juun d) - vampera.mp3,OK,MISSING
2014,Ronboogz,,single,44.0,2024-05-19,"v-pop, vietnamese hip hop, vietnam indie",5juq95pMEYdSzCXKYR5J69,0dBcEvEklr1jx4uZuhFX5e,1.0,2014 - ronboogz.mp3,OK,OK
2020,KIMLONG,,single,24.0,2025-11-20,"v-pop, vietnamese hip hop, vietnam indie",4fooBK0k4y5Uel3RyK6AJ6,26GpU9jkhwkZCyWBw6Prbf,0.0,2020 - kimlong.mp3,OK,OK
2025,Richie D. ICY,"Leo, Teeger",single,32.0,2025-10-10,"vietnamese hip hop, v-pop",3H0crn1dmj1leEzTCws5SW,0FvZX3MHDrlAAnf15FgBkA,1.0,2025 - richie d. icy.mp3,OK,OK
213,Hứa Kim Tuyền,Negav,single,30.0,2022-12-20,"v-pop, vietnam indie",3QuEW3NnPJkduJanaiFirj,3Ufoo4BPShhahtCSjgpBLP,1.0,213 - hứa kim tuyền.mp3,OK,OK
